imag,real,log(imag),log(real)
0,-0.99816,3.1416,-0.0018387
0.023633,-1.0003,3.118,0.00062331
-0.023633,-1.0003,-3.118,0.00062331
0.012515,-0.99799,3.1291,-0.0019335
-0.012515,-0.99799,-3.1291,-0.0019335
0.12478,-0.9918,3.0164,-0.00038382
-0.12478,-0.9918,-3.0164,-0.00038382
0,-0.98476,3.1416,-0.01536
0.03084,-0.99533,3.1106,-0.0042041
-0.03084,-0.99533,-3.1106,-0.0042041
0.11728,-0.9929,3.024,-0.00019716
-0.11728,-0.9929,-3.024,-0.00019716
0.1368,-0.98935,3.0042,-0.0012371
-0.1368,-0.98935,-3.0042,-0.0012371
0.040004,-0.9959,3.1014,-0.0033045
-0.040004,-0.9959,-3.1014,-0.0033045
0.048176,-0.9962,3.0933,-0.0026378
-0.048176,-0.9962,-3.0933,-0.0026378
0.10537,-0.99524,3.0361,0.00080428
-0.10537,-0.99524,-3.0361,0.00080428
0.14772,-0.98603,2.9929,-0.0029659
-0.14772,-0.98603,-2.9929,-0.0029659
0.05927,-0.99717,3.0822,-0.0010686
-0.05927,-0.99717,-3.0822,-0.0010686
0.98051,0.19195,1.3775,-0.00087888
-0.98051,0.19195,-1.3775,-0.00087888
0.97744,0.19782,1.3711,-0.0027468
-0.97744,0.19782,-1.3711,-0.0027468
0.98642,-0.17479,1.7462,0.0017825
-0.98642,-0.17479,-1.7462,0.0017825
0.98303,-0.18419,1.756,0.00013427
-0.98303,-0.18419,-1.756,0.00013427
0.97582,-0.19587,1.7689,-0.004728
-0.97582,-0.19587,-1.7689,-0.004728
0.16487,-0.97718,2.9744,-0.0090551
-0.16487,-0.97718,-2.9744,-0.0090551
0.16099,-0.98331,2.9793,-0.003605
-0.16099,-0.98331,-2.9793,-0.003605
0.066738,-0.99596,3.0747,-0.0018118
-0.066738,-0.99596,-3.0747,-0.0018118
0.9829,0.18085,1.3888,-0.00060059
-0.9829,0.18085,-1.3888,-0.00060059
0.96844,-0.20466,1.7791,-0.010227
-0.96844,-0.20466,-1.7791,-0.010227
0.98501,-0.16676,1.7385,-0.00097239
-0.98501,-0.16676,-1.7385,-0.00097239
0.98687,0.1577,1.4123,-0.00060767
-0.98687,0.1577,-1.4123,-0.00060767
0.98382,0.17161,1.3981,-0.0013231
-0.98382,0.17161,-1.3981,-0.0013231
0.98989,0.1453,1.4251,0.00049439
-0.98989,0.1453,-1.4251,0.00049439
0.98718,-0.15538,1.7269,-0.00066179
-0.98718,-0.15538,-1.7269,-0.00066179
0.98161,0.1635,1.4057,-0.0048765
-0.98161,0.1635,-1.4057,-0.0048765
0.98938,-0.14802,1.7193,0.00038609
-0.98938,-0.14802,-1.7193,0.00038609
0,-0.93751,3.1416,-0.064527
0.079213,-0.99569,3.0622,-0.0011694
-0.079213,-0.99569,-3.0622,-0.0011694
0.095049,-0.99364,3.0462,-0.0018217
-0.095049,-0.99364,-3.0462,-0.0018217
0.99003,0.13855,1.4318,-0.00032175
-0.99003,0.13855,-1.4318,-0.00032175
0.99197,0.12831,1.4422,0.00023801
-0.99197,0.12831,-1.4422,0.00023801
0.98909,-0.13771,1.7091,-0.0013739
-0.98909,-0.13771,-1.7091,-0.0013739
0.08421,-0.99295,3.057,-0.0034871
-0.08421,-0.99295,-3.057,-0.0034871
0,0.15634,0,-1.8557
0.10526,-0.96529,3.033,-0.029415
-0.10526,-0.96529,-3.033,-0.029415
0.89332,0.21162,1.3382,-0.085513
-0.89332,0.21162,-1.3382,-0.085513
0.99131,-0.12735,1.6986,-0.00054213
-0.99131,-0.12735,-1.6986,-0.00054213
0.99142,0.12139,1.449,-0.0011774
-0.99142,0.12139,-1.449,-0.0011774
0.98969,0.11143,1.4587,-0.0040644
-0.98969,0.11143,-1.4587,-0.0040644
0.99204,-0.11248,1.6837,-0.0016047
-0.99204,-0.11248,-1.6837,-0.0016047
0.99988,-0.079695,1.6503,0.0030448
-0.99988,-0.079695,-1.6503,0.0030448
1.0005,-0.028731,1.5995,0.00092728
-1.0005,-0.028731,-1.5995,0.00092728
1.0007,-0.0086797,1.5795,0.00070388
-1.0007,-0.0086797,-1.5795,0.00070388
1.0008,0.000932,1.5699,0.00081377
-1.0008,0.000932,-1.5699,0.00081377
0.99806,-0.019522,1.5904,-0.0017544
-0.99806,-0.019522,-1.5904,-0.0017544
0.99354,0.10459,1.4659,-0.00096851
-0.99354,0.10459,-1.4659,-0.00096851
0.99417,0.092228,1.4783,-0.0015584
-0.99417,0.092228,-1.4783,-0.0015584
0.99927,-0.046542,1.6173,0.00035267
-0.99927,-0.046542,-1.6173,0.00035267
0.99705,-0.037547,1.6084,-0.0022446
-0.99705,-0.037547,-1.6084,-0.0022446
0.9981,0.069454,1.5013,0.00050945
-0.9981,0.069454,-1.5013,0.00050945
0.99266,0.083334,1.487,-0.0038595
-0.99266,0.083334,-1.487,-0.0038595
0.99683,0.0080296,1.5627,-0.003139
-0.99683,0.0080296,-1.5627,-0.003139
0.99835,0.053338,1.5174,-0.00022802
-0.99835,0.053338,-1.5174,-0.00022802
0.99842,0.020963,1.5498,-0.0013572
-0.99842,0.020963,-1.5498,-0.0013572
0.98896,0.072785,1.4973,-0.0084052
-0.98896,0.072785,-1.4973,-0.0084052
0.99805,0.042107,1.5286,-0.0010669
-0.99805,0.042107,-1.5286,-0.0010669
0.99474,-0.10142,1.6724,-0.00010063
-0.99474,-0.10142,-1.6724,-0.00010063
0.49615,0.023161,1.5241,-0.69978
-0.49615,0.023161,-1.5241,-0.69978
0.98697,0.054728,1.5154,-0.011582
-0.98697,0.054728,-1.5154,-0.011582
0.99598,-0.059319,1.6303,-0.0022602
-0.99598,-0.059319,-1.6303,-0.0022602
0.99171,-0.08492,1.6562,-0.004675
-0.99171,-0.08492,-1.6562,-0.004675
0.99276,-0.069653,1.6408,-0.0048083
-0.99276,-0.069653,-1.6408,-0.0048083
0.99513,0.030754,1.5399,-0.0044078
-0.99513,0.030754,-1.5399,-0.0044078
0.98385,-0.10426,1.6764,-0.0107
-0.98385,-0.10426,-1.6764,-0.0107
0.99074,0.027979,1.5426,-0.0089081
-0.99074,0.027979,-1.5426,-0.0089081
0.98308,-0.11281,1.685,-0.010519
-0.98308,-0.11281,-1.685,-0.010519
0.98224,-0.066007,1.6379,-0.015671
-0.98224,-0.066007,-1.6379,-0.015671
0.92186,-0.21051,1.7953,-0.055945
-0.92186,-0.21051,-1.7953,-0.055945
