imag,real,log(imag),log(real)
-0.80077,0.59657,-0.9305,-0.0014429
0.60366,0.79177,0.6514,-0.0043608
-0.60366,0.79177,-0.6514,-0.0043608
0.79573,0.59467,0.92901,-0.0066333
-0.79573,0.59467,-0.92901,-0.0066333
0.8081,0.58651,0.94297,-0.0014929
-0.8081,0.58651,-0.94297,-0.0014929
0.57992,-0.81442,2.5228,-0.00020892
-0.57992,-0.81442,-2.5228,-0.00020892
0.58148,0.80906,0.62317,-0.0036622
-0.58148,0.80906,-0.62317,-0.0036622
0.59297,0.79649,0.63996,-0.0070438
-0.59297,0.79649,-0.63996,-0.0070438
0.57654,-0.81447,2.5256,-0.0021184
-0.57654,-0.81447,-2.5256,-0.0021184
0.81446,0.57756,0.95397,-0.0015407
-0.81446,0.57756,-0.95397,-0.0015407
0.81138,-0.5796,2.1911,-0.0028703
-0.81138,-0.5796,-2.1911,-0.0028703
0.56293,-0.82829,2.5447,0.0014758
-0.56293,-0.82829,-2.5447,0.0014758
0.8218,0.57209,0.96266,0.0013215
-0.8218,0.57209,-0.96266,0.0013215
0.5685,0.82356,0.60418,0.00072069
-0.5685,0.82356,-0.60418,0.00072069
0.57611,0.81458,0.61557,-0.0022859
-0.57611,0.81458,-0.61557,-0.0022859
0.81946,-0.56971,2.1783,-0.0019639
-0.81946,-0.56971,-2.1783,-0.0019639
0.82185,-0.56749,2.1751,-0.0012627
-0.82185,-0.56749,-2.1751,-0.0012627
0.82631,-0.56088,2.1671,-0.0013157
-0.82631,-0.56088,-2.1671,-0.0013157
0.56503,-0.82029,2.5384,-0.0039483
-0.56503,-0.82029,-2.5384,-0.0039483
0.56072,0.82987,0.59421,0.0015405
-0.56072,0.82987,-0.59421,0.0015405
0.72034,0.66273,0.82703,-0.021396
-0.72034,0.66273,-0.82703,-0.021396
0.54504,0.8404,0.57535,0.0016695
-0.54504,0.8404,-0.57535,0.0016695
0.55218,-0.8311,2.5552,-0.0021888
-0.55218,-0.8311,-2.5552,-0.0021888
0.54699,-0.83823,2.5634,0.00091426
-0.54699,-0.83823,-2.5634,0.00091426
0.55156,0.83349,0.58459,-0.00054123
-0.55156,0.83349,-0.58459,-0.00054123
0.5281,0.84818,0.55689,-0.00084822
-0.5281,0.84818,-0.55689,-0.00084822
0.537,0.8421,0.56767,-0.0012525
-0.537,0.8421,-0.56767,-0.0012525
