Period (days),Amplitude
1247.6,3.9474
522.89,6.8752
389.48,13.188
256.76,6.2439
219.87,5.6253
176.55,1.8867
139.03,5.2014
120.56,4.0004
109.81,3.7204
94.681,2.1417
85.899,2.3684
76.626,0.85497
69.865,1.4296
64.459,1.1391
59.204,1.6525
55.523,1.3827
55.124,4.0215
52.561,2.346
48.428,0.97186
45.807,1.8287
43.085,1.3982
41.113,1.0954
39.04,1.6352
37.513,2.4354
36.062,2.8951
35.306,1.2316
33.865,1.181
32.382,1.1543
31.105,0.87712
29.895,2.3304
28.906,1.7113
28.296,2.5584
27.134,1.2349
26.422,0.66255
25.453,1.1027
24.679,2.0516
23.934,0.53103
23.847,2.0276
23.1,2.8267
22.508,1.6003
21.756,2.0743
21.148,1.9203
20.843,1.4768
20.63,1.2216
20.026,1.8509
19.543,1.6728
19.073,0.90792
18.619,0.80761
18.286,1.2478
17.832,1.5429
17.459,1.3122
17.04,2.0573
16.769,2.6176
16.394,4.5237
16.128,3.6782
16.06,4.2252
15.632,1.4849
15.368,3.8105
15.027,2.7366
14.811,2.8774
14.478,1.4422
14.377,2.5628
14.13,1.9749
13.878,0.70098
13.627,2.2282
13.392,1.324
13.156,4.6112
13.012,1.1848
12.902,2.417
12.669,3.6466
12.582,1.7756
12.376,4.5272
12.268,1.0063
12.095,3.0467
11.895,0.52218
11.712,2.2128
11.504,0.86491
11.363,2.2415
11.247,1.4567
11.161,1.7287
10.98,1.6364
10.85,0.91297
10.681,1.644
10.558,1.4935
10.415,0.91893
10.27,1.7366
10.135,0.97201
10.008,2.4813
9.9863,0.90379
9.8851,1.3085
9.7546,1.6595
9.6313,0.79737
9.5617,1.1565
9.4091,0.69919
9.3358,1.384
9.1971,0.96006
9.133,1.1529
9.0064,1.7239
8.9942,1.3381
8.8977,2.9549
8.8087,2.3504
8.7819,2.132
8.681,2.6145
8.569,0.96633
8.4892,1.9543
8.3597,3.0806
8.3406,4.3592
8.2817,2.3965
8.1852,6.5474
8.1331,2.8379
8.0714,3.5421
7.9839,2.6905
7.8971,1.0514
7.811,2.3562
7.7374,2.4387
7.734,1.792
7.6501,1.3409
7.5749,1.2413
7.5044,0.82264
7.4292,1.2046
7.3552,2.5399
7.3172,3.1341
7.2874,2.9461
7.2054,1.757
7.136,0.67893
7.0689,1.0925
7.0226,1.4914
6.9514,1.1631
6.9166,1.5613
6.8388,1.5677
6.8023,1.1781
6.7308,0.52615
6.6825,1.1509
6.6271,1.6055
6.5755,0.99363
6.5247,1.5902
6.4982,1.0066
6.4555,1.0263
6.4146,0.7215
6.3579,1.6563
6.3116,0.98482
6.2702,1.7497
6.2212,1.5671
6.1831,1.2813
6.1356,1.7026
6.0861,0.8452
6.0396,1.3634
5.9901,2.0083
5.962,2.1368
5.949,1.2667
5.8947,3.0119
5.8521,1.2303
5.8014,2.1041
5.7602,1.3057
5.721,0.97094
5.6847,2.0898
5.6665,1.3926
5.6234,1.0623
5.5862,2.0647
5.5428,1.1074
5.508,0.89293
5.4698,0.78755
5.4278,2.9216
5.4108,3.5861
5.369,1.8093
5.3349,1.63
5.3296,1.438
5.2869,1.0392
5.2403,2.1456
5.2094,2.1231
5.1941,2.3728
5.1602,1.217
5.123,2.0802
5.1144,0.85031
5.0748,1.2879
5.0487,1.3194
5.0129,0.61552
4.9798,1.0367
4.9473,0.54608
4.9429,0.93122
4.91,1.2488
4.881,0.43398
4.8546,1.3913
4.8242,0.5763
4.7951,1.5392
4.7703,0.73842
4.7426,2.1288
4.716,2.361
4.7003,1.3576
4.6656,0.58352
4.643,0.90523
4.6162,1.2478
4.5873,1.1056
4.5674,0.74665
4.5287,1.2754
4.517,0.72883
4.5084,1.1203
4.4756,0.67485
4.4592,1.145
4.4281,1.0056
4.4062,1.2079
4.3799,1.2358
4.3544,0.76935
4.3483,1.0325
4.3243,0.73867
4.3065,0.98578
4.2867,0.80303
4.256,0.74514
4.238,0.5774
4.2136,0.54289
4.1947,1.3216
4.1709,1.021
4.1472,2.2102
4.1401,0.90471
4.1201,1.481
4.0998,1.7364
4.0737,2.0597
