Period (days),Amplitude
4.0658,1.5098
4.0452,1.2779
4.0411,0.46646
4.0232,0.86394
4.0004,0.26501
3.9823,1.1734
3.961,0.66331
3.9398,0.80724
3.9231,0.54464
3.904,0.45524
3.8855,0.83002
3.8685,2.2191
3.8599,1.5375
3.8455,1.095
3.8207,2.4222
3.8184,1.0913
3.7949,1.1519
3.7821,0.73202
3.7608,0.87791
3.7397,0.66104
3.7295,0.65893
3.7132,0.4499
3.7014,0.60642
3.6811,0.79127
3.6671,0.45516
3.6499,0.79025
3.6298,0.33442
3.6132,0.73084
3.5974,1.0056
3.5773,0.49081
3.5691,0.94281
3.5632,1.0065
3.5544,1.1368
3.5375,0.77405
3.5318,0.76046
3.5109,0.42491
3.5033,0.6685
3.4815,0.5342
3.4687,0.81013
3.4522,0.46348
3.4384,1.4265
3.4236,0.41838
3.4109,0.7885
3.39,0.59526
3.3781,0.83043
3.3772,0.65713
3.3629,0.49019
3.3474,1.0487
3.3344,0.59371
3.3195,0.92989
3.3065,0.53074
3.2936,0.76197
3.2769,0.55512
3.2683,1.5063
3.2652,0.76361
3.2508,0.60021
3.2392,0.46254
3.2262,0.43283
3.2113,0.51595
3.1969,0.59211
3.1917,0.85042
3.184,0.77417
3.1702,0.64436
3.1561,0.72275
3.1441,0.94157
3.1295,0.7919
3.1157,2.2484
3.1061,1.6647
3.1057,2.4606
3.0916,1.8268
3.0798,1.1932
3.0706,0.61228
3.0531,0.77174
3.0406,0.90384
3.0393,1.3221
3.026,0.69279
3.0114,1.7092
3.0076,1.6589
2.9931,0.88543
2.985,0.81034
2.9681,1.0221
2.9635,0.83246
2.9488,0.79999
2.9426,1.0986
2.9305,1.7121
2.9258,1.9067
2.9161,1.0606
2.9039,0.61512
2.898,1.0702
2.8923,0.95289
2.8825,0.77305
2.8673,0.74714
2.8648,0.74197
2.8513,0.45656
2.8445,0.39989
2.8329,0.49209
2.8235,0.77402
2.816,0.62135
2.812,0.49356
2.8015,0.53755
2.7921,0.90083
2.782,0.47793
2.7717,0.85382
2.7649,1.0031
2.7578,0.99313
2.7494,1.0338
2.7377,0.66615
2.7294,0.87453
2.7185,1.0942
2.7106,1.5271
2.7068,1.1889
2.6938,0.48038
2.6869,0.72813
2.6791,0.63508
2.6718,1.0415
2.6618,0.76117
2.6529,0.8532
2.6449,0.64946
2.6364,0.7382
2.6279,0.45979
2.6174,0.72173
2.6142,0.63967
2.6055,0.62198
2.6041,0.85641
2.5947,0.56513
2.587,1.1467
2.5757,0.60912
2.5701,0.93442
2.5589,0.39876
2.5571,0.42374
2.547,0.43531
2.5399,0.32787
2.5303,0.38447
2.522,0.92548
2.515,0.78038
2.508,0.7759
2.5062,0.94385
2.498,0.84099
2.4897,0.50965
2.483,0.29339
2.4719,0.85047
2.4667,1.4946
2.459,1.2468
2.4547,1.0802
2.4504,1.311
2.4459,0.70856
2.4372,0.36208
2.4287,0.44009
2.4211,0.53256
2.4147,0.43712
2.4069,0.59763
2.4016,0.36865
2.3935,0.58374
2.3854,0.49844
2.3785,0.73043
2.372,0.61547
2.3666,1.154
2.3613,0.98618
2.3609,0.93801
2.355,0.76734
2.3467,0.71692
2.3399,0.51333
2.3339,0.37756
2.3269,0.6455
2.3208,0.54439
2.3137,0.56994
2.3065,0.73189
2.3048,0.78226
2.2979,0.32528
2.2901,0.52199
2.2834,0.51473
2.2786,0.62373
2.2739,0.67883
2.2653,0.67984
2.2586,0.82938
2.2518,0.98881
2.2495,0.81255
2.2426,0.54352
2.2333,0.60497
2.2326,0.67502
2.2269,0.50549
2.2209,0.81761
2.2152,0.61503
2.2085,0.65313
2.2032,0.34918
2.1976,0.60267
2.1905,0.24048
2.1849,0.34578
2.1828,0.96981
2.1782,0.45699
2.1724,0.44201
2.1672,0.4495
2.1608,0.48545
2.1539,1.2087
2.1472,1.0552
2.1469,0.75812
2.1409,0.96745
2.1361,0.55387
2.129,0.79982
2.1242,1.168
2.118,1.4586
2.1152,0.89475
2.1097,0.51845
2.1043,0.48165
2.0981,0.31161
2.0926,0.47049
2.0878,0.3787
2.0837,0.54703
2.0789,0.73757
2.0745,0.39949
2.0682,0.75807
2.0627,0.46432
2.0589,0.38507
2.0532,0.32219
2.0481,0.45587
2.0411,0.44514
2.0381,0.49864
2.0311,0.76868
2.03,0.71511
2.0243,0.80376
2.0232,0.48481
2.0186,0.6188
2.0129,0.44134
2.0079,0.45045
2.0025,0.45743
2,1.5761
