Period (days),Amplitude
8.0131,1.2706
7.9581,0.63735
7.87,0.92771
7.8233,1.4826
7.8041,1.2282
7.6958,0.48417
7.6276,1.5684
7.5991,1.2308
7.4953,0.659
7.4606,1.1922
7.3966,0.34436
7.3263,0.49986
7.2818,0.61206
7.1998,1.388
7.1235,0.67215
7.0782,1.4853
7.0111,0.63613
6.9565,1.156
6.9015,0.4166
6.8473,1.2862
6.7693,0.85508
6.7615,0.472
6.7139,0.60098
6.6508,1.6399
6.5719,1.0003
6.5608,3.8603
6.5343,1.5772
6.5097,3.3815
6.4839,0.54005
6.4144,0.60126
6.3244,1.415
6.3195,0.73861
6.2691,1.9993
6.2144,0.75571
6.1795,0.97023
6.1297,0.51257
6.0698,0.66418
6.0349,0.56209
5.9862,0.81182
5.9338,1.2246
5.9082,0.85876
5.8935,1.2476
5.8414,1.5638
5.8023,0.81998
5.7762,0.72245
5.7395,1.0915
5.6811,1.2562
5.6607,1.7072
5.6081,1.494
5.5861,1.4067
5.5468,0.75016
5.5016,1.0933
5.4782,0.6088
5.4586,0.96621
5.4059,2.1125
5.3789,1.3042
5.3449,1.5451
5.3094,0.27084
5.2742,0.60537
5.2462,0.81166
5.2008,2.2643
5.19,1.2224
5.1378,1.6094
5.0976,1.7121
5.0805,0.72106
5.0759,0.90352
5.0486,1.1454
5.0138,0.51485
4.9714,0.30827
4.9469,1.5018
4.9394,1.4249
4.8855,1.384
4.8821,0.93158
4.8615,1.238
4.8158,0.34347
4.7954,0.68423
4.7676,0.26705
4.7261,0.74239
4.7202,0.81896
4.6857,0.8748
4.6696,0.51584
4.6461,1.3814
4.6325,1.0699
4.6104,0.65387
4.5835,0.62676
4.5387,0.83506
4.5377,1.0578
4.5119,1.1094
4.4823,0.37951
4.4548,1.9185
4.4424,2.0003
4.4321,1.0313
4.4089,0.5427
4.3866,1.1694
4.3574,0.32549
4.3379,0.25824
4.313,0.70736
4.3121,1.1641
4.2774,0.66545
4.267,0.64624
4.2567,0.53994
4.2393,0.41183
4.2225,0.67994
4.1951,1.0386
4.1749,1.7113
4.1459,1.4459
4.1317,1.4672
4.1072,0.55846
4.0982,1.3144
4.0721,0.37971
4.0488,1.2217
4.0355,0.51456
4.0157,1.4466
3.9871,0.39095
3.9773,1.6988
3.9513,1.7583
3.9471,0.36347
3.9402,0.4435
3.9136,0.74253
3.9011,0.87471
3.8789,0.77129
3.8514,0.43824
3.8395,0.39225
3.814,0.47347
3.7989,0.39454
3.7963,0.72632
3.7777,0.6048
3.7593,0.85494
3.7411,1.2834
3.7342,0.97018
3.7242,1.0494
3.6998,0.54593
3.6861,1.0905
3.6688,0.7794
3.6575,1.3714
3.6406,0.46732
3.6245,1.0361
3.6071,0.61654
3.5939,0.38564
3.5753,0.38868
3.5618,0.79239
3.5459,0.76197
3.5327,0.95293
3.5094,1.1312
3.4976,1.7188
3.4844,1.833
3.4763,1.134
3.4761,0.35382
3.45,0.51217
3.4325,0.50297
3.4197,0.58141
3.4109,1.0583
3.3979,0.53429
3.3787,1.6617
3.3711,0.93424
3.3577,1.0042
3.3412,0.55014
3.33,1.1862
3.3179,0.83182
3.3035,0.81811
3.3003,0.61065
3.2792,0.91396
3.2721,0.80442
3.2596,0.64981
3.2545,1.7945
3.2489,0.1557
3.238,1.2431
3.2219,0.57245
3.2088,0.11976
3.1984,0.69807
3.1834,0.84766
3.1715,0.867
3.1519,0.53139
3.1475,0.91608
3.1469,0.72259
3.1318,0.58759
3.1188,1.2087
3.1038,0.87038
3.0975,1.3151
3.0821,0.11783
3.071,0.92339
3.0637,0.8058
3.0479,0.81216
3.0421,0.44891
3.032,0.49835
3.0177,1.0834
3.0154,1.0158
2.9992,0.44435
2.9854,0.61352
2.9807,0.95647
2.9665,0.57683
2.9581,0.38239
2.9521,0.96339
2.9452,0.36837
2.9357,0.77848
2.9283,0.55426
2.9139,0.43748
2.9057,0.59048
2.8944,0.4315
2.8829,0.91918
2.8791,0.94462
2.8755,0.15922
2.8587,0.54915
2.8559,0.6908
2.8422,0.39458
2.8272,0.42402
2.8225,0.65094
2.8186,0.43865
2.8054,0.20659
2.7951,1.1834
2.7832,0.93172
2.7808,0.33667
2.7663,0.52416
2.763,0.31086
2.7545,0.83417
2.7459,0.34579
2.7354,0.27977
2.7272,0.48152
2.7171,0.45537
2.7094,0.26253
2.6988,0.26114
2.6902,0.36587
2.689,0.33623
2.6821,0.31314
2.6721,0.63503
2.661,0.54532
2.6523,0.84561
2.6494,0.8065
2.6431,0.84132
2.634,0.70206
2.6251,0.83583
2.616,0.97621
2.6109,0.60911
2.6061,0.77699
2.5932,0.24304
2.5885,0.64895
2.5788,0.89246
2.572,0.26306
2.5619,0.75743
2.5556,0.39229
2.5495,0.27032
2.5406,0.14116
2.5351,0.42931
2.5271,0.4972
2.5199,0.81544
2.5107,0.71255
2.5102,0.35136
2.5016,0.67668
2.494,0.51874
2.4839,0.31098
2.4809,0.37696
2.4704,0.48743
2.4631,0.89673
2.4584,0.74011
2.4495,0.54318
2.4477,0.82703
2.4364,0.31275
2.4303,0.48292
2.4221,0.55342
2.4144,0.21965
2.4077,0.60491
2.3994,0.36198
2.3962,0.63723
2.3907,0.31683
2.3854,0.25156
2.3763,0.51334
2.3695,0.24315
2.3635,0.34569
2.3549,0.23564
2.3507,0.52557
2.3462,0.52906
2.3382,0.25502
2.3317,0.28774
2.3296,0.35152
2.3208,0.25861
2.3142,0.65831
2.3074,0.19488
2.3012,0.6452
2.3009,1.1928
2.2957,0.1758
2.2907,0.4184
2.2837,0.23112
2.278,0.18279
2.2702,0.27535
2.2639,0.18249
2.2564,0.51804
2.25,0.23603
2.2449,0.45377
2.2377,0.59857
2.2344,0.37787
2.229,0.71754
2.2205,0.67864
2.2177,0.36896
2.2154,1.2115
2.2109,0.40473
2.2027,0.26509
2.1954,0.1414
2.1908,0.27268
2.1863,0.32323
2.1788,0.31645
2.1734,0.21916
2.1708,0.59043
2.1656,0.25406
2.1588,0.8571
2.1524,4.7443
2.1482,4.569
2.1469,0.6721
2.1364,0.17365
2.1348,1.1008
2.1301,0.20157
2.1271,0.20726
2.1175,0.547
2.117,0.45796
2.1109,0.30246
2.1053,0.4021
2.1,0.20724
2.0953,0.19966
2.0889,0.50328
2.0842,0.3585
2.0795,0.72424
2.071,0.21695
2.0678,0.70142
2.0638,0.80374
2.0615,1.0969
2.0551,0.2879
2.0495,0.14352
2.0438,0.19346
2.041,0.51686
2.0345,0.34363
2.029,1.0308
2.0266,0.93045
2.0219,6.1837
2.0203,1.1161
2.0174,0.31264
2.0118,0.81599
2.0058,0.47054
2,1.0234
