Period (days),Amplitude
1115.7,2.5965
600.32,1.9122
375.72,8.9639
261.86,2.0269
178.56,1.9138
155.41,2.4691
141.75,3.0129
123.31,2.7468
107.8,2.9527
96.33,1.8291
86.602,2.1763
78.471,1.7393
71.905,1.2802
65.855,0.95834
64.505,1.0175
57.994,0.82701
55.937,0.87664
50.457,1.2636
47.311,2.4327
46.967,3.1149
43.596,1.5016
42.731,2.2601
39.372,0.84123
38.992,1.8106
36.305,1.7253
35.962,2.1665
33.548,0.37946
32.838,0.85434
31.75,0.48513
30.41,0.62923
29.331,1.2762
28.393,1.0041
27.334,0.77535
26.727,0.34373
26.108,0.75624
25.49,1.1052
24.282,1.7825
23.995,1.5489
23.106,2.4397
23,2.3355
22.285,2.3439
21.761,2.3823
21.045,0.89895
20.752,1.9806
20.194,0.86342
19.834,2.9165
19.152,1.0155
19.002,3.7057
18.579,1.006
18.25,1.1751
17.912,1.6897
17.61,1.96
17.155,1.675
16.853,0.46062
16.467,2.6596
16.205,1.4226
15.832,2.1026
15.539,0.38781
15.197,2.5348
15.028,2.4484
14.712,2.1528
14.38,1.2033
14.289,0.81406
14.233,1.4365
13.867,0.59087
13.664,0.76665
13.309,1.208
13.243,2.9479
13.185,0.84166
12.993,1.0279
12.731,1.5631
12.636,0.4228
12.385,0.7886
12.29,1.0028
12.049,1.1035
11.848,0.88862
11.672,1.1894
11.448,1.0102
11.421,1.1922
11.19,0.75682
11.104,0.78
11.009,2.5437
10.93,2.483
10.784,1.8702
10.604,1.8565
10.535,1.793
10.355,0.48313
10.229,1.6169
10.066,1.0758
9.9615,1.7841
9.875,1.9598
9.7223,1.7534
9.7137,0.77649
9.6226,1.9743
9.5335,1.21
9.3844,1.5818
9.3052,1.0251
9.1563,2.0287
9.1036,0.6858
8.9603,0.65777
8.9288,1.8341
8.763,0.89812
8.711,2.0807
8.6102,0.70914
8.5291,1.5897
8.4977,2.3536
8.3767,0.5799
8.3208,1.1686
8.2833,2.0226
8.2001,1.2883
8.0991,1.4812
