Period (days),Log of Amplitude
1.968233265,2.000891919
1.969598013,2.002897354
1.970963708,2.004895237
1.972330349,2.006885578
1.973697938,2.008868383
1.975066476,2.010843661
1.976435962,2.012811421
1.977806398,2.014771671
1.979177784,2.016724419
1.980550121,2.018669674
1.98192341,2.020607446
1.983297651,2.022537743
1.984672845,2.024460574
1.986048992,2.026375949
1.987426093,2.028283878
1.98880415,2.030184371
1.990183161,2.032077437
1.99156313,2.033963086
1.992944054,2.03584133
1.994325937,2.037712178
1.995708777,2.03957564
1.997092577,2.041431729
1.998477336,2.043280455
1.999863055,2.045121828
2.001249735,2.046955861
2.002637376,2.048782565
2.00402598,2.050601951
2.005415547,2.052414032
2.006806077,2.05421882
2.008197571,2.056016326
2.00959003,2.057806563
2.010983454,2.059589545
2.012377845,2.061365282
2.013773203,2.06313379
2.015169528,2.06489508
2.016566821,2.066649165
2.017965083,2.068396061
2.019364315,2.070135779
2.020764517,2.071868334
2.022165689,2.073593741
2.023567834,2.075312012
2.02497095,2.077023164
2.02637504,2.078727209
2.027780103,2.080424164
2.02918614,2.082114042
2.030593152,2.083796859
2.03200114,2.085472631
2.033410104,2.087141373
2.034820045,2.0888031
2.036230964,2.090457829
2.037642861,2.092105575
2.039055737,2.093746355
2.040469593,2.095380185
2.041884429,2.097007082
2.043300246,2.098627062
2.044717045,2.100240144
2.046134826,2.101846342
2.04755359,2.103445677
2.048973338,2.105038163
2.050394071,2.106623821
2.051815788,2.108202666
2.053238491,2.109774718
2.054662181,2.111339995
2.056086858,2.112898515
2.057512523,2.114450297
2.058939176,2.115995359
2.060366819,2.117533722
2.061795452,2.119065403
2.063225075,2.120590423
2.064655689,2.122108801
2.066087295,2.123620557
2.067519895,2.125125711
2.068953487,2.126624283
2.070388073,2.128116293
2.071823654,2.129601762
2.073260231,2.13108071
2.074697804,2.132553159
2.076136373,2.13401913
2.07757594,2.135478643
2.079016505,2.136931721
2.080458069,2.138378384
2.081900633,2.139818656
2.083344196,2.141252557
2.084788761,2.14268011
2.086234328,2.144101338
2.087680896,2.145516262
2.089128468,2.146924906
2.090577044,2.148327293
2.092026623,2.149723445
2.093477208,2.151113386
2.094928799,2.15249714
2.096381397,2.15387473
2.097835001,2.155246179
2.099289614,2.156611512
2.100745235,2.157970753
2.102201865,2.159323927
2.103659506,2.160671057
2.105118157,2.162012169
2.106577819,2.163347287
2.108038494,2.164676437
2.109500181,2.165999643
2.110962882,2.167316931
2.112426598,2.168628327
2.113891328,2.169933856
2.115357074,2.171233544
2.116823836,2.172527417
2.118291615,2.173815502
2.119760412,2.175097825
2.121230227,2.176374412
2.122701061,2.17764529
2.124172916,2.178910486
2.12564579,2.180170026
2.127119687,2.181423939
2.128594605,2.182672252
2.130070546,2.183914991
2.13154751,2.185152185
2.133025498,2.186383862
2.134504511,2.187610049
2.13598455,2.188830775
2.137465615,2.190046067
2.138947707,2.191255955
2.140430826,2.192460466
2.141914974,2.19365963
2.143400151,2.194853475
2.144886358,2.196042031
2.146373595,2.197225326
2.147861864,2.19840339
2.149351164,2.199576252
2.150841497,2.200743942
2.152332864,2.201906489
2.153825264,2.203063924
2.1553187,2.204216275
2.156813171,2.205363574
2.158308678,2.206505851
2.159805222,2.207643135
2.161302804,2.208775458
2.162801424,2.209902849
2.164301084,2.21102534
2.165801783,2.212142962
2.167303523,2.213255744
2.168806304,2.214363719
2.170310127,2.215466918
2.171814993,2.216565371
2.173320902,2.21765911
2.174827856,2.218748167
2.176335854,2.219832573
2.177844898,2.22091236
2.179354988,2.22198756
2.180866126,2.223058204
2.182378311,2.224124325
2.183891545,2.225185955
2.185405828,2.226243125
2.186921161,2.227295868
2.188437544,2.228344217
2.18995498,2.229388203
2.191473467,2.230427859
2.192993007,2.231463219
2.194513601,2.232494313
2.196035249,2.233521176
2.197557953,2.23454384
2.199081712,2.235562338
2.200606527,2.236576702
2.2021324,2.237586966
2.203659331,2.238593163
2.205187321,2.239595326
2.20671637,2.240593488
2.20824648,2.241587682
2.20977765,2.242577942
2.211309882,2.243564301
2.212843177,2.244546791
2.214377535,2.245525448
2.215912956,2.246500303
2.217449442,2.247471391
2.218986994,2.248438745
2.220525612,2.249402398
2.222065297,2.250362385
2.223606049,2.251318738
2.225147869,2.252271491
2.226690759,2.253220679
2.228234718,2.254166334
2.229779748,2.25510849
2.23132585,2.256047181
2.232873023,2.25698244
2.234421269,2.257914302
2.235970589,2.258842799
2.237520983,2.259767966
2.239072452,2.260689837
2.240624997,2.261608444
2.242178618,2.262523822
2.243733316,2.263436004
2.245289093,2.264345024
2.246845948,2.265250915
2.248403883,2.266153711
2.249962898,2.267053446
2.251522994,2.267950153
2.253084172,2.268843866
2.254646432,2.269734617
2.256209776,2.270622441
2.257774204,2.271507371
2.259339716,2.27238944
2.260906314,2.273268681
2.262473998,2.274145128
2.264042769,2.275018814
2.265612628,2.275889772
2.267183575,2.276758035
2.268755612,2.277623637
2.270328739,2.278486609
2.271902956,2.279346985
2.273478265,2.280204798
2.275054666,2.28106008
2.276632161,2.281912864
2.278210749,2.282763183
2.279790432,2.28361107
2.28137121,2.284456555
2.282953084,2.285299673
2.284536055,2.286140455
2.286120124,2.286978933
2.287705291,2.287815139
2.289291557,2.288649106
2.290878923,2.289480864
2.29246739,2.290310446
2.294056958,2.291137884
2.295647628,2.291963208
2.297239401,2.292786451
2.298832278,2.293607643
2.30042626,2.294426816
2.302021347,2.295244001
2.303617539,2.296059228
2.305214839,2.296872528
2.306813246,2.297683932
2.308412761,2.298493471
2.310013386,2.299301175
2.31161512,2.300107074
2.313217965,2.300911198
2.314821921,2.301713577
2.31642699,2.302514241
2.318033171,2.30331322
2.319640467,2.304110542
2.321248876,2.304906238
2.322858401,2.305700337
2.324469042,2.306492867
2.3260808,2.307283858
2.327693675,2.308073338
2.329307668,2.308861336
2.330922781,2.30964788
2.332539014,2.310432999
2.334156367,2.311216719
2.335774842,2.31199907
2.337394439,2.312780079
2.339015159,2.313559773
2.340637003,2.31433818
2.342259971,2.315115327
2.343884065,2.315891241
2.345509285,2.316665949
2.347135631,2.317439476
2.348763106,2.318211851
2.350391709,2.318983098
2.352021441,2.319753244
2.353652303,2.320522315
2.355284296,2.321290336
2.356917421,2.322057333
2.358551678,2.322823331
2.360187068,2.323588355
2.361823592,2.32435243
2.363461251,2.325115581
2.365100045,2.325877831
2.366739976,2.326639206
2.368381044,2.327399729
2.370023249,2.328159423
2.371666594,2.328918314
2.373311078,2.329676424
2.374956702,2.330433776
2.376603467,2.331190393
