Period (days),Log of Amplitude
2.012377845,2.001278388
2.013773203,2.00311402
2.015169528,2.004941719
2.016566821,2.006761492
2.017965083,2.008573347
2.019364315,2.010377292
2.020764517,2.012173335
2.022165689,2.013961483
2.023567834,2.015741746
2.02497095,2.017514131
2.02637504,2.019278648
2.027780103,2.021035304
2.02918614,2.02278411
2.030593152,2.024525073
2.03200114,2.026258204
2.033410104,2.027983513
2.034820045,2.029701008
2.036230964,2.031410699
2.037642861,2.033112598
2.039055737,2.034806713
2.040469593,2.036493057
2.041884429,2.038171638
2.043300246,2.039842468
2.044717045,2.041505559
2.046134826,2.043160921
2.04755359,2.044808565
2.048973338,2.046448504
2.050394071,2.048080749
2.051815788,2.049705313
2.053238491,2.051322206
2.054662181,2.052931442
2.056086858,2.054533034
2.057512523,2.056126993
2.058939176,2.057713334
2.060366819,2.059292069
2.061795452,2.060863211
2.063225075,2.062426774
2.064655689,2.063982773
2.066087295,2.06553122
2.067519895,2.06707213
2.068953487,2.068605518
2.070388073,2.070131397
2.071823654,2.071649783
2.073260231,2.073160691
2.074697804,2.074664136
2.076136373,2.076160133
2.07757594,2.077648698
2.079016505,2.079129847
2.080458069,2.080603595
2.081900633,2.082069959
2.083344196,2.083528955
2.084788761,2.0849806
2.086234328,2.086424911
2.087680896,2.087861905
2.089128468,2.089291598
2.090577044,2.090714009
2.092026623,2.092129155
2.093477208,2.093537054
2.094928799,2.094937724
2.096381397,2.096331183
2.097835001,2.09771745
2.099289614,2.099096544
2.100745235,2.100468483
2.102201865,2.101833287
2.103659506,2.103190974
2.105118157,2.104541565
2.106577819,2.10588508
2.108038494,2.107221537
2.109500181,2.108550958
2.110962882,2.109873363
2.112426598,2.111188772
2.113891328,2.112497207
2.115357074,2.113798687
2.116823836,2.115093236
2.118291615,2.116380873
2.119760412,2.117661621
2.121230227,2.118935501
2.122701061,2.120202537
2.124172916,2.121462749
2.12564579,2.122716161
2.127119687,2.123962795
2.128594605,2.125202674
2.130070546,2.126435822
2.13154751,2.127662261
2.133025498,2.128882015
2.134504511,2.130095109
2.13598455,2.131301566
2.137465615,2.13250141
2.138947707,2.133694666
2.140430826,2.134881358
2.141914974,2.136061512
2.143400151,2.137235151
2.144886358,2.138402302
2.146373595,2.13956299
2.147861864,2.140717241
2.149351164,2.14186508
2.150841497,2.143006534
2.152332864,2.144141629
2.153825264,2.145270391
2.1553187,2.146392847
2.156813171,2.147509024
2.158308678,2.148618949
2.159805222,2.149722649
2.161302804,2.150820152
2.162801424,2.151911485
2.164301084,2.152996677
2.165801783,2.154075755
2.167303523,2.155148748
2.168806304,2.156215685
2.170310127,2.157276593
2.171814993,2.158331502
2.173320902,2.15938044
2.174827856,2.160423438
2.176335854,2.161460524
