Period (days),Amplitude
2.396,1.1243
2.3891,0.71923
2.383,0.42274
2.3747,0.26136
2.3668,0.6704
2.3609,0.3666
2.3522,0.39144
2.346,0.65077
2.3364,0.17177
2.3312,0.41699
2.3219,0.32156
2.3188,0.74202
2.309,0.24986
2.3023,0.4773
2.2961,0.48301
2.2872,0.4997
2.282,0.53665
2.2748,0.46263
2.2693,0.59154
2.2691,0.31713
2.2635,0.66335
2.2548,0.58377
2.2459,0.46486
2.2432,0.77857
2.2339,0.72049
2.23,1.0966
2.2231,1.1017
2.22,0.18978
2.2107,0.70891
2.2045,0.38613
2.1979,0.37749
2.1885,0.56932
2.1849,0.58273
2.1796,0.42791
2.1748,0.67666
2.1662,0.38007
2.1611,0.50082
2.1528,1.5044
2.1486,1.0568
2.1479,1.4153
2.1405,0.89546
2.1358,0.49027
2.1283,0.70294
2.1212,0.28852
2.1166,0.76749
2.11,0.42843
2.1039,0.56622
2.0991,0.16578
2.0879,0.55909
2.0873,0.77168
2.0805,0.53982
2.0786,0.46584
2.0708,0.5432
2.0664,0.52215
2.0606,0.37015
2.0538,0.45803
2.049,0.27329
2.0433,0.78694
2.0373,0.95721
2.034,0.52002
2.0294,1.1865
2.0234,0.38386
2.0202,0.54971
2.0136,0.28646
2.0085,0.19434
2.0028,0.36729
2,0.41726
