,Period (days),Amplitude,
161,5.5106,0.79608,0.741198888
162,5.4753,0.94534,0.73840792
163,5.4346,1.2153,0.735167584
164,5.3835,3.4427,0.731064717
165,5.3675,2.6852,0.729772053
166,5.3211,0.95794,0.726001421
167,5.2883,1.0529,0.723316084
168,5.2468,2.9383,0.71989451
169,5.2446,2.6285,0.719712371
170,5.2171,3.2444,0.717429161
171,5.1822,1.5014,0.71451417
172,5.1412,0.66333,0.711064499
173,5.1182,1.9793,0.709117252
174,5.0743,0.9459,0.70537614
175,5.0477,1.3518,0.703093536
176,5.0223,0.58818,0.700902651
177,4.9991,0.78763,0.698891824
178,4.969,1.0487,0.696268997
179,4.9362,0.82874,0.693392748
180,4.8992,0.63606,0.690125169
181,4.8667,1.2784,0.687234576
182,4.8632,0.6167,0.68692213
183,4.8296,1.3617,0.683911163
184,4.8029,1.3726,0.681503544
185,4.764,3.0973,0.677971753
186,4.7599,1.4865,0.677597829
187,4.7168,8.9951,0.673647462
188,4.715,7.3672,0.673481697
189,4.6717,1.7693,0.669474946
190,4.6514,2.3905,0.667583689
191,4.6197,1.4849,0.664613774
192,4.6011,0.70769,0.662861672
193,4.5665,0.53495,0.659583462
194,4.5643,1.8029,0.659374182
195,4.5381,0.82436,0.656874062
196,4.5208,0.74359,0.655215294
197,4.4879,1.0375,0.652043171
198,4.4644,0.98163,0.649763099
199,4.4354,0.68929,0.646932792
200,4.4253,0.86806,0.645942718
201,4.4142,0.60493,0.644852006
202,4.387,0.5969,0.642167634
203,4.3577,0.7263,0.639257329
204,4.3353,0.68586,0.637019156
205,4.3034,0.94902,0.633811716
206,4.2869,2.077,0.632143353
207,4.266,1.8246,0.630020851
208,4.249,0.48163,0.628286731
209,4.2229,1.5593,0.625610797
210,4.2156,1.4209,0.624859396
211,4.1917,0.45959,0.622390193
212,4.1624,1.3881,0.619343813
213,4.1443,1.8721,0.617451186
214,4.1197,0.79711,0.614865591
215,4.1028,2.4291,0.613080347
216,4.0918,3.3848,0.611914398
217,4.0776,1.844,0.610404621
218,4.0645,0.92963,0.609007128
219,4.0359,0.66484,0.605940397
220,4.0218,1.1377,0.60442047
221,3.9982,0.78288,0.601864515
222,3.9804,0.88448,0.599926718
223,3.9652,1.202,0.598265098
224,3.9631,0.37307,0.598035031
225,3.9385,0.44875,0.59533085
226,3.9203,0.65442,0.593319303
227,3.8993,0.94588,0.59098665
228,3.8796,0.59316,0.588786951
229,3.859,1.1434,0.586474779
230,3.838,0.82077,0.58410497
231,3.8244,1.2956,0.58256331
232,3.8178,1.0642,0.581813174
233,3.7956,0.87357,0.579280438
234,3.7812,0.61661,0.577629649
235,3.7638,0.84767,0.575626538
236,3.7399,1.5952,0.57285999
237,3.7214,1.3305,0.570706353
238,3.713,2.2269,0.569724949
239,3.7009,1.028,0.56830735
240,3.6795,0.59416,0.565788807
241,3.6599,0.66619,0.563469219
242,3.6589,2.3935,0.56335054
243,3.6428,0.51578,0.561435328
244,3.6251,0.44627,0.559319991
245,3.6062,0.72502,0.557049809
246,3.5886,1.1103,0.554925053
247,3.5778,2.9018,0.55361606
248,3.5646,3.6104,0.552010803
249,3.5577,0.82244,0.551169324
250,3.5346,1.6422,0.548340273
251,3.5226,0.88557,0.546863331
252,3.5054,0.4647,0.544737582
253,3.5038,1.4126,0.544539308
254,3.4861,0.62448,0.542339841
255,3.4705,0.58143,0.540392049
256,3.4535,0.68794,0.53825946
257,3.4401,0.99003,0.536571067
258,3.4219,0.80107,0.534267314
259,3.4188,0.52653,0.533873695
260,3.4011,0.45021,0.531619401
261,3.3874,0.40617,0.529866483
262,3.3747,2.8239,0.528235171
263,3.3711,0.49633,0.527771636
264,3.3599,1.0132,0.526326352
265,3.3461,0.84588,0.524538916
266,3.3332,0.91921,0.522861373
267,3.3174,0.66341,0.52079784
268,3.3049,0.78065,0.519158323
269,3.2905,0.57055,0.517261895
270,3.2738,0.87806,0.515052144
271,3.2654,0.84764,0.513936388
272,3.2569,1.1062,0.512804424
273,3.2511,0.38349,0.512030328
274,3.2337,0.99288,0.509699727
275,3.2287,0.98348,0.509027694
276,3.208,0.61876,0.50623436
277,3.2016,0.86673,0.505367071
278,3.1935,0.50538,0.50426692
279,3.1777,0.87078,0.502112894
280,3.167,0.45155,0.500648063
281,3.153,0.97829,0.498723971
282,3.14,0.83978,0.496929648
283,3.1304,0.75154,0.495599835
284,3.1175,1.0776,0.493806462
285,3.1052,0.69659,0.492089577
286,3.0945,1.1746,0.490590487
287,3.0848,0.56308,0.489227012
288,3.0711,1.3323,0.487293958
289,3.0655,1.0079,0.48650132
290,3.0523,0.82146,0.484627217
291,3.0432,0.48156,0.483330495
292,3.0307,0.38567,0.481542949
293,3.0195,1.1101,0.479935034
294,3.01,1.2909,0.478566496
295,3.0046,0.80933,0.477786663
296,2.9924,0.31676,0.476019646
297,2.9816,0.44431,0.47444938
298,2.9697,0.32007,0.472712579
299,2.9585,0.71113,0.471071574
300,2.949,0.50685,0.469674773
301,2.9351,0.47307,0.467622902
302,2.9252,0.36891,0.466155565
303,2.9151,0.42681,0.464653457
304,2.9037,0.35291,0.462951745
305,2.9021,1.1007,0.462712373
306,2.8916,0.77999,0.461138216
307,2.8802,0.38237,0.459422646
308,2.8756,1.4108,0.458728475
309,2.8646,0.96901,0.457063988
310,2.8567,1.0541,0.455864635
311,2.8422,0.35749,0.453654635
312,2.8316,0.38775,0.452031904
313,2.8244,0.66782,0.450926203
314,2.8087,0.72257,0.448505354
315,2.8085,3.4133,0.448474428
316,2.8053,1.4331,0.447979312
317,2.7892,2.2585,0.445479657
318,2.7852,0.40972,0.444856387
319,2.7702,1.5564,0.442511125
320,2.766,1.7002,0.441852176
321,2.7551,2.435,0.440137367
322,2.7533,0.88697,0.439853535
323,2.7453,0.75886,0.43858981
324,2.735,0.41387,0.436957331
325,2.725,0.74968,0.435366507
326,2.7177,0.83839,0.434201514
327,2.7085,0.63677,0.43272884
328,2.7004,0.57563,0.431428099
329,2.689,0.73379,0.429590802
330,2.6833,0.5769,0.428669231
331,2.6721,0.71761,0.426852707
332,2.6636,0.66706,0.425469006
333,2.6539,0.61655,0.423884554
334,2.6462,0.53405,0.422622665
335,2.6374,0.72888,0.421176002
336,2.6336,0.6796,0.420549814
337,2.6251,0.84731,0.419145852
338,2.6206,1.1273,0.418400737
339,2.6119,0.43259,0.416956545
340,2.6028,0.66662,0.415440798
341,2.595,0.58688,0.414137362
342,2.586,0.91844,0.412628521
343,2.5797,0.54184,0.411569204
344,2.5701,0.72919,0.409950022
345,2.5629,0.48989,0.408731661
346,2.5561,0.44541,0.40757784
347,2.5468,0.56917,0.405994841
348,2.5397,0.69864,0.404782419
349,2.5371,0.56387,0.404337585
350,2.5262,0.66785,0.402467731
351,2.5204,0.82392,0.401469471
352,2.5104,1.2257,0.399742926
353,2.5038,0.84744,0.398599635
354,2.4942,0.83143,0.396931275
355,2.4883,0.87603,0.39590274
356,2.487,0.36203,0.395675785
357,2.4787,0.23006,0.394223967
358,2.4723,0.38319,0.393101169
359,2.4628,0.52189,0.391429145
360,2.4569,0.56971,0.39038748
361,2.4478,0.52955,0.38877593
362,2.4407,0.34009,0.387514401
363,2.4355,0.35553,0.386588134
364,2.4292,0.69587,0.385463272
365,2.4218,0.49906,0.384138275
366,2.4146,0.63779,0.382845196
367,2.4078,0.61017,0.38162041
368,2.3989,0.46745,0.380012144
369,2.3929,0.42809,0.37892455
370,2.3852,0.34918,0.377524801
371,2.3779,0.38,0.376193587
372,2.3753,0.50919,0.375718469
373,2.3676,0.69349,0.374308331
374,2.3644,0.61937,0.373720951
375,2.3561,0.25451,0.372193719
376,2.3481,0.64423,0.370716589
377,2.3454,0.37129,0.370216921
378,2.3366,0.45841,0.368584372
379,2.3321,0.35507,0.367747169
380,2.3225,1.9005,0.365955723
381,2.3221,0.61663,0.365880918
382,2.3171,0.90181,0.364944777
383,2.3115,0.65883,0.363893898
384,2.3107,0.67288,0.363743564
385,2.3018,0.74151,0.362067586
386,2.295,0.7072,0.36078269
387,2.2889,0.42508,0.359626819
388,2.2828,0.60305,0.358467864
389,2.2771,0.62588,0.357382103
390,2.272,0.46884,0.356408327
391,2.264,0.77931,0.354876423
392,2.2595,0.86892,0.354012346
393,2.2522,0.58375,0.352606954
394,2.2462,0.57996,0.351448423
395,2.2393,0.41166,0.35011228
396,2.2372,1.0722,0.349704811
397,2.2363,0.43185,0.349530064
398,2.2273,0.32082,0.347778717
399,2.2211,0.52454,0.346568112
400,2.2143,0.40537,0.34523646
401,2.2119,0.6309,0.344765489
402,2.2038,0.29561,0.343172179
403,2.1992,0.51078,0.342264727
404,2.1929,0.39919,0.341018828
405,2.1852,0.26527,0.339491192
406,2.1825,0.44006,0.338954252
407,2.174,0.46042,0.33725954
408,2.169,0.74475,0.336259552
409,2.1689,0.53983,0.336239529
410,2.1612,0.33812,0.334694959
411,2.1571,0.50661,0.333870279
412,2.1498,0.57102,0.332398059
413,2.1458,0.28814,0.331589241
414,2.1388,0.32473,0.330170175
415,2.1325,0.37685,0.32888904
416,2.1276,0.7,0.327889982
417,2.1208,0.50354,0.326499715
418,2.1164,0.73855,0.325597753
419,2.1157,0.5352,0.325454086
420,2.1099,0.43884,0.324261872
421,2.1037,0.58173,0.322983807
422,2.0997,0.58896,0.322157248
423,2.0939,0.48748,0.320955937
424,2.0891,0.34259,0.319959229
425,2.0841,0.50902,0.318918554
426,2.0784,0.56298,0.317729134
427,2.0727,0.35577,0.316536447
428,2.0671,0.73692,0.315361487
429,2.0616,0.50133,0.314204406
430,2.0577,0.68041,0.313382058
431,2.057,0.38235,0.313234292
432,2.0521,0.5791,0.31219852
433,2.0453,0.37996,0.310757018
434,2.0406,0.44598,0.309757882
435,2.0362,0.53735,0.308820433
436,2.0297,0.23191,0.307431852
437,2.0254,0.75677,0.306510806
438,2.0206,0.61349,0.305480349
439,2.0189,0.37668,0.305114808
440,2.0123,0.62175,0.303692727
441,2.0071,0.32583,0.302569011
442,2.0029,0.38407,0.301659267
