Period (days),Amplitude
3.3514,0.68031
3.3427,0.76033
3.3266,0.42925
3.3068,0.99135
3.3047,0.651
3.2795,0.58434
3.2794,0.98983
3.2564,0.35589
3.2447,0.34697
3.2292,0.58216
3.2253,0.6274
3.2141,0.68005
3.1989,0.6693
3.1884,0.60046
3.1729,1.1158
3.1603,0.23283
3.1443,1.0653
3.1392,1.3464
3.1262,0.91852
3.1119,0.52277
3.098,2.9631
3.0967,1.0717
3.0878,2.1089
3.0743,0.84331
3.0622,0.58849
3.053,1.3778
3.0444,0.51509
3.0303,0.31757
3.0154,0.72861
3.0046,0.34759
2.9948,0.68703
2.987,0.34036
2.9794,0.40207
2.9579,0.27885
2.9502,0.32163
2.9483,0.22152
2.9295,0.29692
2.9198,0.21672
2.9116,0.26235
2.9009,0.32
2.8902,0.41606
2.8768,0.50113
2.8681,0.39608
2.8673,0.30537
2.853,0.5904
2.8507,0.99635
2.8409,0.68062
2.8323,0.2649
2.8173,0.39002
2.8087,0.82887
2.7997,0.62884
2.791,0.97034
2.7844,0.61211
2.7737,0.42146
2.7581,0.28877
2.7514,0.71187
2.7422,0.8252
2.736,1.2152
2.7302,0.84747
2.7208,0.32502
2.7112,0.39559
2.6999,0.4956
2.6889,0.43832
2.679,0.51537
2.671,0.8501
2.6648,0.52745
2.6542,0.60732
2.6429,0.82939
2.6424,0.6966
2.6294,0.72447
2.6211,0.60953
2.6123,0.82847
2.6041,0.60764
2.6022,0.65082
2.5959,0.64028
2.5848,1.0662
2.5821,0.95863
2.5713,0.37326
2.5618,0.46769
2.5513,0.4573
2.5448,0.6289
2.5388,0.69574
2.5308,0.55614
2.5211,0.68015
2.5166,0.6037
2.5073,0.39056
2.4977,0.41742
2.4905,0.14524
2.4802,0.45582
2.4802,0.46376
2.4694,0.24031
2.4624,0.53358
2.4545,0.21787
2.4465,0.46339
2.4418,0.42155
2.4343,0.44502
2.4251,0.15107
2.42,0.25254
2.4103,0.26931
2.404,0.26457
2.4022,0.16541
2.3945,0.64077
2.3839,0.27113
2.382,0.29424
2.3733,0.15281
2.3664,0.3374
2.3583,0.36667
2.3555,0.20147
2.347,0.36974
2.3396,0.2872
2.3343,0.24719
2.3301,0.22045
2.3222,0.11708
2.313,0.26076
2.3102,0.36692
2.3012,0.26349
2.2937,0.39248
2.2863,0.65384
2.2815,0.65208
2.276,0.60234
2.2735,0.6951
2.2659,0.29659
2.2587,0.65499
2.2512,0.33753
2.2451,0.5898
2.2374,0.92993
2.2321,1.0293
2.2273,0.79864
2.2206,1.047
2.2204,0.73379
2.212,0.85288
2.2055,0.53659
2.1994,0.56709
2.1939,0.59282
2.1867,0.65026
2.1809,0.65491
2.1758,0.76935
2.1687,0.81227
2.162,2.6604
2.1609,3.0218
2.1525,1.4311
2.1493,1.6688
2.1433,1.0938
2.1373,0.76396
2.1306,0.66556
2.1257,0.67047
2.1192,0.32459
2.1152,0.5136
2.1099,0.35321
2.1008,0.47208
2.0962,1.6098
2.096,0.42838
2.0878,1.7891
2.0857,3.451
2.0831,1.4121
2.0758,0.77813
2.0704,0.98803
2.0643,0.85056
2.0601,0.7548
2.0533,0.58384
2.0503,0.88094
2.0448,0.46533
2.0398,0.55427
2.0327,0.66685
2.0315,1.0197
2.026,0.86376
2.0191,0.46664
2.0184,0.71696
2.0112,0.31246
2.0035,0.12906
2,0.23635
