Period (days),Amplitude
1261.2,1.882
493.54,3.4629
339.33,3.5499
268.99,1.6322
195.52,2.0398
168.19,1.9106
130.59,1.7028
117.66,0.75595
96.776,1.0312
88.795,1.537
77.858,2.0151
76.162,2.0876
68.318,1.7793
60.649,1.8737
59.276,1.1567
53.093,1.7712
49.53,1.9508
47.147,4.0502
45.254,1.7499
44.844,3.2888
40.364,0.54928
39.537,1.1394
36.631,1.6797
36.61,0.80175
33.916,0.72524
32.956,1.2932
31.054,1.762
30.312,1.7333
29.409,2.1088
28.532,1.1349
28.113,1.4147
27.732,0.42573
25.77,1.118
25.77,0.44322
24.675,1.4562
24.555,0.91295
23.379,0.97057
22.662,0.88985
22.213,0.60118
21.503,1.1409
21.006,0.80735
20.288,0.4606
19.766,2.2616
19.507,2.4965
19.123,1.2594
18.687,1.1459
18.235,0.7018
17.904,0.75085
17.473,0.74992
17.087,0.96075
16.828,1.3403
16.507,2.1728
16.124,0.61546
15.806,1.1113
15.515,0.83999
15.232,1.7714
14.872,1.5171
14.697,2.255
14.417,1.1816
14.221,1.3636
13.925,0.6591
13.665,1.3033
13.538,0.95729
13.286,1.4179
13.086,1.2471
12.843,1.7011
12.832,1.7019
12.54,0.80253
12.311,0.82702
12.3,1.5219
12.127,1.3737
11.905,1.5156
11.781,1.2199
11.612,0.99362
11.514,0.55737
11.347,0.37747
11.191,0.63757
10.965,1.0331
10.932,1.1054
10.726,1.4436
10.569,1.1829
10.473,2.0549
10.264,1.4047
10.223,1.1814
10.002,1.5792
9.9617,2.12
9.9283,1.8775
9.7771,1.1281
9.6233,0.93109
9.5104,0.48817
9.3813,1.2193
9.2823,0.97884
9.2178,1.3784
9.2122,1.9087
8.9853,0.67399
8.9496,1.0025
8.7947,0.49958
8.7187,0.79328
8.6014,0.65658
8.5558,0.6754
8.4431,1.0918
8.3442,0.69772
8.2559,0.42408
8.196,1.2197
8.1005,0.53515
8.0212,1.632
7.9877,0.60634
7.8628,1.1828
7.8251,2.1197
7.818,0.66674
7.7043,1.1934
7.6545,0.44711
7.5857,1.2738
7.5101,0.36244
7.4136,0.83689
7.3839,1.0702
7.297,0.75412
7.2332,0.53932
7.1731,0.7409
7.1112,0.2461
7.0222,0.55076
6.9934,0.56977
6.9244,0.67552
6.8787,0.40578
6.801,0.5047
6.7812,0.26971
6.7134,0.62288
6.6549,0.34982
6.6157,0.57657
6.5359,0.36785
6.492,1.0069
6.4685,0.71764
6.379,0.9764
6.3443,1.2686
6.2995,1.5688
6.2419,2.7021
6.2226,2.4128
6.1574,0.95613
6.1074,0.79317
6.0572,0.88692
6.0484,1.5737
6.0013,1.1761
5.9553,0.5005
5.9111,1.4278
5.8608,0.57181
5.8227,0.91531
5.7837,0.91196
5.7375,0.33236
5.7002,1.509
5.6587,1.4235
5.6219,0.91599
5.5846,1.4393
5.533,0.32923
5.4863,0.46058
5.4839,1.1634
5.4607,0.94131
5.436,0.67646
5.3988,0.72329
5.3561,1.22
5.3336,0.39293
5.2655,0.6043
5.2454,1.1567
5.2256,0.52159
5.1951,0.72
5.161,0.29452
5.1433,1.6293
5.1098,0.60028
5.0919,0.26428
5.0419,0.74797
5.0198,0.4823
4.9883,0.88171
4.96,0.33749
4.9155,0.61969
4.9012,0.86698
4.877,0.55065
4.8409,0.52611
4.8154,0.22978
4.7725,0.87568
4.7532,0.26007
4.7238,0.42878
4.6917,0.2056
4.6829,0.44976
4.6605,0.4889
4.6393,0.26891
4.607,0.54364
4.5804,1.05
4.5454,0.80566
4.5247,0.73256
4.5075,1.1286
4.477,0.50602
4.4485,0.56497
4.4219,0.44836
4.4025,0.82491
4.3864,0.77801
4.3717,1.032
4.3442,0.72737
4.317,1.0467
4.2913,0.97768
4.2793,1.2811
4.2502,0.68805
4.2271,0.73764
4.2025,0.56257
4.1788,1.0251
4.1787,1.0774
4.1455,1.0388
4.1253,0.40494
4.1172,1.007
4.0927,0.89096
4.0701,0.48617
4.0503,0.30683
4.0302,0.71572
4.0038,0.44208
3.986,0.93785
3.976,0.51303
3.9473,0.64364
3.9337,0.55152
3.9039,0.79174
3.9021,0.69662
3.8803,0.25039
3.8543,1.0686
3.8422,0.95342
3.8311,0.44628
3.8078,1.031
3.7871,0.59766
3.7715,1.2644
3.7685,0.92774
3.7427,0.67997
3.7238,0.21101
3.6988,0.59965
3.6932,0.6634
3.6724,0.61078
3.6573,0.59037
3.6544,0.70132
3.6363,0.28067
3.6223,0.42874
3.5998,0.2283
3.5884,0.21997
3.5682,0.69862
3.5569,0.56733
3.5347,1.0175
3.5199,0.52098
3.5051,1.1377
3.4877,0.78362
3.4758,0.79068
3.4619,0.98931
3.452,0.71307
3.4319,0.58013
3.4154,0.54912
3.4023,0.62292
3.4009,1.041
3.3812,0.28016
3.3672,0.51285
