Period (days),Amplitude
1239.8,0.89394
490.94,1.964
367.62,4.6722
281.3,2.004
218.23,2.4535
176.72,0.91546
138.28,0.80984
138.28,2.002
113.19,0.70024
96.546,1.1483
88.126,0.60782
78.615,0.5042
76.411,0.75775
68.105,1.0814
61.163,1.4845
57.94,1.3996
54.991,1.0523
51.903,0.99809
47.558,1.2244
47.218,2.0755
44.336,0.78889
41.204,0.64585
39.178,0.32228
38.893,1.5223
36.196,2.1544
34.957,1.2585
33.698,1.2496
31.929,0.52491
31.6,1.3837
30.021,0.50852
29.26,0.3619
28.266,0.50558
27.113,0.61498
26.037,0.7293
25.424,0.55126
24.469,0.8781
23.801,0.84278
23.526,1.1483
22.894,1.7011
22.575,2.3953
22.458,1.3754
21.618,2.1006
21.102,1.5685
20.545,1.2736
20.09,1.1651
19.697,1.1547
19.346,0.60735
18.855,0.45971
18.547,0.7251
18.082,0.90434
17.598,1.5764
17.35,1.5441
16.847,0.68723
16.629,1.9588
16.476,0.26153
16.1,1.7089
15.766,1.2251
15.444,0.95631
15.246,1.2639
14.951,0.85294
14.759,0.91927
14.423,0.2303
14.119,1.2902
14.052,0.98857
13.723,0.62886
13.527,1.2862
13.321,1.847
13.096,0.99822
12.906,0.8875
12.702,0.6342
12.583,1.0075
12.368,0.3451
12.22,1.7353
12.021,0.92402
11.92,0.41794
11.651,0.65703
11.529,0.91909
11.374,0.38893
11.239,0.79731
11.162,0.51561
11.019,1.2384
10.889,0.53289
10.694,1.3895
10.691,0.34982
10.445,1.0337
10.355,0.73766
10.22,0.14962
10.041,0.18766
9.982,0.9182
9.8081,0.84234
9.7959,1.5109
9.591,0.42374
9.5869,0.98376
9.3998,0.39556
9.3642,1.2794
9.2905,0.71788
9.1781,0.82098
9.0573,0.29839
8.9633,1.5709
8.8441,1.0987
8.7721,1.0177
8.6404,0.88525
8.5758,0.30274
8.4785,0.7944
8.3787,1.5258
8.3648,1.2089
8.2751,2.0075
8.2118,1.073
8.1445,0.58527
8.1327,0.95037
8.0546,1.4212
8.0392,2.1515
7.918,0.36158
7.8832,0.30243
7.7766,0.44806
7.726,1.457
7.6434,1.0306
7.57,1.155
7.5049,0.60653
7.4055,0.61887
7.3315,1.0276
7.3022,0.82523
7.2035,1.1351
