Period (days),Log of Amplitude
1.990183161,2.000373501
1.99156313,2.002514524
1.992944054,2.004647789
1.994325937,2.006773298
1.995708777,2.008891054
1.997092577,2.011001061
1.998477336,2.01310332
1.999863055,2.015197834
2.001249735,2.017284607
2.002637376,2.019363641
2.00402598,2.021434941
2.005415547,2.023498509
2.006806077,2.025554349
2.008197571,2.027602465
2.00959003,2.02964286
2.010983454,2.031675539
2.012377845,2.033700505
2.013773203,2.035717762
2.015169528,2.037727316
2.016566821,2.03972917
2.017965083,2.041723329
2.019364315,2.043709798
2.020764517,2.045688581
2.022165689,2.047659684
2.023567834,2.049623111
2.02497095,2.051578868
2.02637504,2.05352696
2.027780103,2.055467393
2.02918614,2.057400172
2.030593152,2.059325303
2.03200114,2.061242792
2.033410104,2.063152646
2.034820045,2.065054869
2.036230964,2.066949468
2.037642861,2.068836451
2.039055737,2.070715823
2.040469593,2.072587591
2.041884429,2.074451762
2.043300246,2.076308343
2.044717045,2.078157341
2.046134826,2.079998764
2.04755359,2.081832619
2.048973338,2.083658913
2.050394071,2.085477654
2.051815788,2.08728885
2.053238491,2.08909251
2.054662181,2.09088864
2.056086858,2.09267725
2.057512523,2.094458347
2.058939176,2.096231941
2.060366819,2.09799804
2.061795452,2.099756652
2.063225075,2.101507788
2.064655689,2.103251456
2.066087295,2.104987664
2.067519895,2.106716424
2.068953487,2.108437744
2.070388073,2.110151635
2.071823654,2.111858105
2.073260231,2.113557165
2.074697804,2.115248825
2.076136373,2.116933096
2.07757594,2.118609988
2.079016505,2.120279512
2.080458069,2.121941677
2.081900633,2.123596497
2.083344196,2.12524398
2.084788761,2.126884139
2.086234328,2.128516986
2.087680896,2.130142531
2.089128468,2.131760786
2.090577044,2.133371763
2.092026623,2.134975474
2.093477208,2.136571931
2.094928799,2.138161147
2.096381397,2.139743134
2.097835001,2.141317905
2.099289614,2.142885471
2.100745235,2.144445847
2.102201865,2.145999046
2.103659506,2.14754508
2.105118157,2.149083963
2.106577819,2.150615708
2.108038494,2.152140329
2.109500181,2.153657841
2.110962882,2.155168256
2.112426598,2.15667159
2.113891328,2.158167856
2.115357074,2.159657069
2.116823836,2.161139243
2.118291615,2.162614394
2.119760412,2.164082536
2.121230227,2.165543684
2.122701061,2.166997854
2.124172916,2.168445061
2.12564579,2.16988532
2.127119687,2.171318648
2.128594605,2.17274506
2.130070546,2.174164572
2.13154751,2.1755772
2.133025498,2.176982961
2.134504511,2.178381871
2.13598455,2.179773947
2.137465615,2.181159205
2.138947707,2.182537663
2.140430826,2.183909338
2.141914974,2.185274247
2.143400151,2.186632407
2.144886358,2.187983836
2.146373595,2.189328552
2.147861864,2.190666572
2.149351164,2.191997915
2.150841497,2.193322599
2.152332864,2.194640642
2.153825264,2.195952063
2.1553187,2.19725688
2.156813171,2.198555113
2.158308678,2.199846779
2.159805222,2.201131899
2.161302804,2.202410491
2.162801424,2.203682576
2.164301084,2.204948172
2.165801783,2.206207299
2.167303523,2.207459977
2.168806304,2.208706227
2.170310127,2.209946068
2.171814993,2.21117952
2.173320902,2.212406605
2.174827856,2.213627343
2.176335854,2.214841754
2.177844898,2.21604986
2.179354988,2.217251681
2.180866126,2.218447239
2.182378311,2.219636556
2.183891545,2.220819652
2.185405828,2.221996549
2.186921161,2.22316727
2.188437544,2.224331835
2.18995498,2.225490268
2.191473467,2.22664259
2.192993007,2.227788824
2.194513601,2.228928992
2.196035249,2.230063117
2.197557953,2.231191222
2.199081712,2.232313329
2.200606527,2.233429463
2.2021324,2.234539645
2.203659331,2.235643899
2.205187321,2.236742249
2.20671637,2.237834718
2.20824648,2.238921331
2.20977765,2.24000211
2.211309882,2.241077081
2.212843177,2.242146266
2.214377535,2.243209691
2.215912956,2.24426738
2.217449442,2.245319357
2.218986994,2.246365647
2.220525612,2.247406275
2.222065297,2.248441265
2.223606049,2.249470644
2.225147869,2.250494435
2.226690759,2.251512664
2.228234718,2.252525357
2.229779748,2.253532539
2.23132585,2.254534235
2.232873023,2.255530472
2.234421269,2.256521276
2.235970589,2.257506671
2.237520983,2.258486686
2.239072452,2.259461344
2.240624997,2.260430674
2.242178618,2.261394701
2.243733316,2.262353452
2.245289093,2.263306954
2.246845948,2.264255233
2.248403883,2.265198316
2.249962898,2.266136231
2.251522994,2.267069004
2.253084172,2.267996662
2.254646432,2.268919233
2.256209776,2.269836744
2.257774204,2.270749222
2.259339716,2.271656696
