Period (days),Log of Amplitude
1.990183161,1.623810881
1.99156313,1.625921161
1.992944054,1.628023981
1.994325937,1.630119348
1.995708777,1.632207267
1.997092577,1.634287745
1.998477336,1.63636079
1.999863055,1.638426406
2.001249735,1.640484602
2.002637376,1.642535383
2.00402598,1.644578758
2.005415547,1.646614734
2.006806077,1.648643317
2.008197571,1.650664516
2.00959003,1.652678338
2.010983454,1.654684792
2.012377845,1.656683884
2.013773203,1.658675624
2.015169528,1.66066002
2.016566821,1.66263708
2.017965083,1.664606814
2.019364315,1.666569229
2.020764517,1.668524335
2.022165689,1.670472141
2.023567834,1.672412656
2.02497095,1.67434589
2.02637504,1.676271853
2.027780103,1.678190555
2.02918614,1.680102004
2.030593152,1.682006212
2.03200114,1.683903189
2.033410104,1.685792946
2.034820045,1.687675492
2.036230964,1.689550839
2.037642861,1.691418998
2.039055737,1.69327998
2.040469593,1.695133796
2.041884429,1.696980459
2.043300246,1.698819978
2.044717045,1.700652367
2.046134826,1.702477637
2.04755359,1.704295801
2.048973338,1.70610687
2.050394071,1.707910858
2.051815788,1.709707777
2.053238491,1.71149764
2.054662181,1.71328046
2.056086858,1.71505625
2.057512523,1.716825024
2.058939176,1.718586795
2.060366819,1.720341577
2.061795452,1.722089384
2.063225075,1.72383023
2.064655689,1.72556413
2.066087295,1.727291097
2.067519895,1.729011146
2.068953487,1.730724293
2.070388073,1.732430552
2.071823654,1.734129938
2.073260231,1.735822468
2.074697804,1.737508155
2.076136373,1.739187017
2.07757594,1.740859068
2.079016505,1.742524326
2.080458069,1.744182805
2.081900633,1.745834524
2.083344196,1.747479497
2.084788761,1.749117743
2.086234328,1.750749278
2.087680896,1.752374119
2.089128468,1.753992284
2.090577044,1.75560379
2.092026623,1.757208655
2.093477208,1.758806897
2.094928799,1.760398533
2.096381397,1.761983583
2.097835001,1.763562064
2.099289614,1.765133995
2.100745235,1.766699395
2.102201865,1.768258283
2.103659506,1.769810678
2.105118157,1.7713566
2.106577819,1.772896068
2.108038494,1.774429101
2.109500181,1.77595572
2.110962882,1.777475945
2.112426598,1.778989796
2.113891328,1.780497293
2.115357074,1.781998457
2.116823836,1.783493309
2.118291615,1.78498187
2.119760412,1.786464161
2.121230227,1.787940203
2.122701061,1.789410018
2.124172916,1.790873627
2.12564579,1.792331054
2.127119687,1.793782318
2.128594605,1.795227444
2.130070546,1.796666452
2.13154751,1.798099367
2.133025498,1.79952621
2.134504511,1.800947004
2.13598455,1.802361774
2.137465615,1.803770541
2.138947707,1.80517333
2.140430826,1.806570164
2.141914974,1.807961066
2.143400151,1.809346062
2.144886358,1.810725175
2.146373595,1.81209843
2.147861864,1.81346585
2.149351164,1.814827461
2.150841497,1.816183288
2.152332864,1.817533355
2.153825264,1.818877689
2.1553187,1.820216313
2.156813171,1.821549254
2.158308678,1.822876537
2.159805222,1.824198189
2.161302804,1.825514235
2.162801424,1.826824701
2.164301084,1.828129615
2.165801783,1.829429001
2.167303523,1.830722888
2.168806304,1.832011301
