Period (days),Log of Amplitude
1.990183161,1.759668492
1.99156313,1.761559071
1.992944054,1.763440668
1.994325937,1.76531328
1.995708777,1.767176905
1.997092577,1.769031542
1.998477336,1.770877188
1.999863055,1.772713844
2.001249735,1.774541506
2.002637376,1.776360175
2.00402598,1.778169848
2.005415547,1.779970525
2.006806077,1.781762206
2.008197571,1.783544889
2.00959003,1.785318575
2.010983454,1.787083262
2.012377845,1.788838951
2.013773203,1.790585642
2.015169528,1.792323334
2.016566821,1.794052028
2.017965083,1.795771725
2.019364315,1.797482424
2.020764517,1.799184127
2.022165689,1.800876835
2.023567834,1.802560548
2.02497095,1.804235268
2.02637504,1.805900997
2.027780103,1.807557735
2.02918614,1.809205484
2.030593152,1.810844246
2.03200114,1.812474024
2.033410104,1.814094819
2.034820045,1.815706633
2.036230964,1.81730947
2.037642861,1.818903332
2.039055737,1.820488222
2.040469593,1.822064142
2.041884429,1.823631097
2.043300246,1.825189088
2.044717045,1.826738121
2.046134826,1.828278199
2.04755359,1.829809325
2.048973338,1.831331504
2.050394071,1.83284474
2.051815788,1.834349037
2.053238491,1.8358444
2.054662181,1.837330835
2.056086858,1.838808345
2.057512523,1.840276937
2.058939176,1.841736615
2.060366819,1.843187386
2.061795452,1.844629255
2.063225075,1.846062228
2.064655689,1.847486311
2.066087295,1.848901511
2.067519895,1.850307834
2.068953487,1.851705287
2.070388073,1.853093877
2.071823654,1.854473612
2.073260231,1.855844498
2.074697804,1.857206544
2.076136373,1.858559756
2.07757594,1.859904144
2.079016505,1.861239716
2.080458069,1.862566479
2.081900633,1.863884443
2.083344196,1.865193617
2.084788761,1.866494009
2.086234328,1.867785629
2.087680896,1.869068487
2.089128468,1.870342592
2.090577044,1.871607955
2.092026623,1.872864585
2.093477208,1.874112493
2.094928799,1.87535169
2.096381397,1.876582186
2.097835001,1.877803994
2.099289614,1.879017123
2.100745235,1.880221587
2.102201865,1.881417396
2.103659506,1.882604562
2.105118157,1.883783099
2.106577819,1.884953019
2.108038494,1.886114334
2.109500181,1.887267057
2.110962882,1.888411203
2.112426598,1.889546784
2.113891328,1.890673814
2.115357074,1.891792307
2.116823836,1.892902277
2.118291615,1.89400374
2.119760412,1.89509671
2.121230227,1.896181201
2.122701061,1.89725723
2.124172916,1.898324812
2.12564579,1.899383962
2.127119687,1.900434697
2.128594605,1.901477033
2.130070546,1.902510986
2.13154751,1.903536574
2.133025498,1.904553814
2.134504511,1.905562723
2.13598455,1.906563319
2.137465615,1.907555619
2.138947707,1.908539643
2.140430826,1.909515407
2.141914974,1.910482932
2.143400151,1.911442236
2.144886358,1.912393339
2.146373595,1.91333626
2.147861864,1.914271019
2.149351164,1.915197635
2.150841497,1.916116131
2.152332864,1.917026526
2.153825264,1.917928841
2.1553187,1.918823097
2.156813171,1.919709317
2.158308678,1.920587521
2.159805222,1.921457733
2.161302804,1.922319974
2.162801424,1.923174268
2.164301084,1.924020637
2.165801783,1.924859104
2.167303523,1.925689694
2.168806304,1.926512429
2.170310127,1.927327335
2.171814993,1.928134435
2.173320902,1.928933755
2.174827856,1.92972532
2.176335854,1.930509154
2.177844898,1.931285284
2.179354988,1.932053736
2.180866126,1.932814536
2.182378311,1.933567709
2.183891545,1.934313285
2.185405828,1.935051288
2.186921161,1.935781748
2.188437544,1.936504691
2.18995498,1.937220147
2.191473467,1.937928142
2.192993007,1.938628706
2.194513601,1.939321869
2.196035249,1.940007658
2.197557953,1.940686105
2.199081712,1.941357238
2.200606527,1.942021089
2.2021324,1.942677687
2.203659331,1.943327064
2.205187321,1.94396925
2.20671637,1.944604278
2.20824648,1.945232178
2.20977765,1.945852983
2.211309882,1.946466726
2.212843177,1.94707344
2.214377535,1.947673156
2.215912956,1.948265909
2.217449442,1.948851732
2.218986994,1.94943066
2.220525612,1.950002726
2.222065297,1.950567965
2.223606049,1.951126412
2.225147869,1.951678102
2.226690759,1.952223071
2.228234718,1.952761354
2.229779748,1.953292988
2.23132585,1.953818009
2.232873023,1.954336454
2.234421269,1.95484836
2.235970589,1.955353764
2.237520983,1.955852704
2.239072452,1.956345218
2.240624997,1.956831345
2.242178618,1.957311122
2.243733316,1.957784588
2.245289093,1.958251784
2.246845948,1.958712747
2.248403883,1.959167519
2.249962898,1.95961614
2.251522994,1.960058648
2.253084172,1.960495087
2.254646432,1.960925495
2.256209776,1.961349915
2.257774204,1.961768388
2.259339716,1.962180956
2.260906314,1.962587661
2.262473998,1.962988546
2.264042769,1.963383653
2.265612628,1.963773025
2.267183575,1.964156706
2.268755612,1.964534739
2.270328739,1.964907168
2.271902956,1.965274037
2.273478265,1.96563539
2.275054666,1.965991273
2.276632161,1.96634173
2.278210749,1.966686806
2.279790432,1.967026547
2.28137121,1.967360999
2.282953084,1.967690207
2.284536055,1.968014218
2.286120124,1.968333079
2.287705291,1.968646836
2.289291557,1.968955535
2.290878923,1.969259226
2.29246739,1.969557954
2.294056958,1.969851768
2.295647628,1.970140716
2.297239401,1.970424846
2.298832278,1.970704207
2.30042626,1.970978846
2.302021347,1.971248814
2.303617539,1.971514159
2.305214839,1.971774931
2.306813246,1.972031179
2.308412761,1.972282953
2.310013386,1.972530303
2.31161512,1.97277328
2.313217965,1.973011933
2.314821921,1.973246314
2.31642699,1.973476473
2.318033171,1.973702461
2.319640467,1.97392433
2.321248876,1.97414213
2.322858401,1.974355914
2.324469042,1.974565733
2.3260808,1.974771638
2.327693675,1.974973683
2.329307668,1.975171919
2.330922781,1.975366399
2.332539014,1.975557175
2.334156367,1.9757443
2.335774842,1.975927826
2.337394439,1.976107808
2.339015159,1.976284296
2.340637003,1.976457346
2.342259971,1.97662701
2.343884065,1.976793342
2.345509285,1.976956395
2.347135631,1.977116223
2.348763106,1.97727288
2.350391709,1.977426419
2.352021441,1.977576895
2.353652303,1.977724361
2.355284296,1.977868872
2.356917421,1.978010482
2.358551678,1.978149245
2.360187068,1.978285215
2.361823592,1.978418448
2.363461251,1.978548996
2.365100045,1.978676915
2.366739976,1.978802259
2.368381044,1.978925083
2.370023249,1.979045441
2.371666594,1.979163388
2.373311078,1.979278979
2.374956702,1.979392267
2.376603467,1.979503308
2.378251374,1.979612157
2.379900424,1.979718867
2.381550617,1.979823493
2.383201954,1.97992609
2.384854437,1.980026713
2.386508065,1.980125415
2.388162839,1.980222252
2.389818762,1.980317277
2.391475832,1.980410545
2.393134051,1.98050211
2.39479342,1.980592027
2.39645394,1.980680349
2.398115611,1.980767131
2.399778435,1.980852425
2.401442411,1.980936287
2.403107541,1.98101877
2.404773826,1.981099928
2.406441266,1.981179813
2.408109862,1.98125848
2.409779615,1.981335981
2.411450526,1.981412369
2.413122596,1.981487699
2.414795825,1.981562021
2.416470214,1.98163539
2.418145764,1.981707857
2.419822476,1.981779475
2.42150035,1.981850295
2.423179388,1.981920371
2.424859591,1.981989752
2.426540958,1.982058492
2.428223491,1.982126641
2.429907191,1.98219425
2.431592058,1.982261371
2.433278093,1.982328053
2.434965298,1.982394348
2.436653672,1.982460305
2.438343217,1.982525975
2.440033934,1.982591407
2.441725823,1.98265665
2.443418885,1.982721754
2.445113121,1.982786768
2.446808532,1.982851739
2.448505118,1.982916717
2.450202881,1.98298175
2.451901821,1.983046884
2.453601939,1.983112168
2.455303236,1.983177649
2.457005712,1.983243373
2.458709369,1.983309387
2.460414207,1.983375737
2.462120228,1.983442468
2.463827431,1.983509627
2.465535818,1.983577258
2.46724539,1.983645406
2.468956147,1.983714116
2.47066809,1.983783431
2.47238122,1.983853395
2.474095538,1.983924052
2.475811045,1.983995444
2.477527741,1.984067614
2.479245628,1.984140603
2.480964706,1.984214455
2.482684976,1.984289209
2.484406438,1.984364907
2.486129095,1.98444159
2.487852945,1.984519297
2.489577991,1.984598069
2.491304234,1.984677944
2.493031673,1.984758961
2.49476031,1.984841159
2.496490145,1.984924576
2.49822118,1.985009249
2.499953415,1.985095216
2.501686852,1.985182512
2.50342149,1.985271175
2.505157331,1.985361239
2.506894376,1.985452741
2.508632625,1.985545715
2.510372079,1.985640195
2.51211274,1.985736215
2.513854607,1.985833809
2.515597683,1.98593301
2.517341966,1.98603385
2.51908746,1.986136361
2.520834164,1.986240575
2.522582078,1.986346522
2.524331205,1.986454234
2.526081545,1.98656374
2.527833098,1.98667507
2.529585866,1.986788253
2.531339849,1.986903318
2.533095048,1.987020293
2.534851465,1.987139205
2.536609099,1.987260082
2.538367952,1.98738295
2.540128024,1.987507835
2.541889317,1.987634764
2.543651831,1.98776376
2.545415568,1.98789485
2.547180527,1.988028056
2.54894671,1.988163403
2.550714118,1.988300914
2.552482751,1.988440612
2.55425261,1.988582519
2.556023697,1.988726655
2.557796012,1.988873044
2.559569556,1.989021705
2.561344329,1.989172658
2.563120333,1.989325924
2.564897569,1.989481521
2.566676036,1.989639469
2.568455737,1.989799785
2.570236672,1.989962487
2.572018842,1.990127593
2.573802248,1.990295119
2.57558689,1.990465081
2.57737277,1.990637497
2.579159888,1.990812379
2.580948245,1.990989745
2.582737842,1.991169608
2.58452868,1.991351981
2.58632076,1.99153688
2.588114082,1.991724315
2.589908648,1.991914301
2.591704458,1.992106849
2.593501514,1.992301971
2.595299815,1.992499678
2.597099363,1.99269998
2.59890016,1.992902888
2.600702204,1.993108412
2.602505499,1.993316562
2.604310043,1.993527345
2.606115839,1.993740771
2.607922887,1.993956848
2.609731188,1.994175584
2.611540743,1.994396985
2.613351553,1.994621059
2.615163618,1.994847812
2.61697694,1.99507725
2.618791519,1.995309378
2.620607356,1.995544203
2.622424452,1.995781729
2.624242808,1.996021959
2.626062425,1.996264899
2.627883304,1.996510552
2.629705446,1.996758922
2.63152885,1.997010011
2.633353519,1.997263821
2.635179454,1.997520356
2.637006654,1.997779616
2.638835122,1.998041605
2.640664857,1.998306321
2.642495861,1.998573768
2.644328134,1.998843944
2.646161678,1.99911685
2.647996493,1.999392487
2.649832581,1.999670853
2.651669942,1.999951948
2.653508576,2.00023577
2.655348486,2.000522319
2.657189671,2.000811593
2.659032133,2.001103589
2.660875873,2.001398305
2.662720891,2.00169574
2.664567188,2.001995889
2.666414766,2.002298751
2.668263624,2.002604321
2.670113765,2.002912596
2.671965188,2.003223572
2.673817895,2.003537246
2.675671887,2.003853612
2.677527164,2.004172666
2.679383728,2.004494404
2.681241579,2.004818819
2.683100719,2.005145908
2.684961147,2.005475665
2.686822865,2.005808083
2.688685875,2.006143157
2.690550176,2.006480881
2.692415769,2.006821249
2.694282657,2.007164254
2.696150839,2.007509889
2.698020316,2.007858148
2.699891089,2.008209024
2.70176316,2.008562509
2.703636529,2.008918596
2.705511196,2.009277278
2.707387164,2.009638547
2.709264432,2.010002395
2.711143002,2.010368815
2.713022875,2.010737798
2.714904051,2.011109335
2.716786531,2.01148342
2.718670317,2.011860042
2.720555409,2.012239194
2.722441808,2.012620868
2.724329515,2.013005053
2.726218531,2.013391741
2.728108857,2.013780924
2.730000493,2.014172592
2.731893441,2.014566736
2.733787702,2.014963346
2.735683276,2.015362413
2.737580164,2.015763929
2.739478368,2.016167882
2.741377888,2.016574264
2.743278725,2.016983065
2.74518088,2.017394275
2.747084354,2.017807885
2.748989148,2.018223884
2.750895263,2.018642262
2.752802699,2.01906301
2.754711458,2.019486118
2.75662154,2.019911575
2.758532947,2.020339371
2.760445679,2.020769497
2.762359738,2.021201941
2.764275123,2.021636695
2.766191837,2.022073746
2.76810988,2.022513086
2.770029252,2.022954704
2.771949956,2.023398589
2.773871991,2.023844732
2.775795359,2.024293121
2.777720061,2.024743747
2.779646097,2.025196598
2.781573469,2.025651665
2.783502177,2.026108938
2.785432223,2.026568404
2.787363607,2.027030055
2.78929633,2.02749388
2.791230393,2.027959868
2.793165797,2.028428009
2.795102543,2.028898292
2.797040632,2.029370707
2.798980065,2.029845244
2.800920843,2.030321891
2.802862966,2.030800639
2.804806436,2.031281477
2.806751254,2.031764395
2.80869742,2.032249382
2.810644935,2.032736427
2.812593801,2.033225522
2.814544019,2.033716654
2.816495588,2.034209813
2.818448511,2.03470499
2.820402788,2.035202174
2.82235842,2.035701355
2.824315408,2.036202521
2.826273752,2.036705664
2.828233455,2.037210772
2.830194517,2.037717835
2.832156938,2.038226843
2.83412072,2.038737786
