42,22,33,34,30
52,34,42,49,29
45,49,59,55,20
18,9,20,23,12
25,20,31,40,9
30,36,50,44,8
21,11,17,31,16
16,7,19,31,14
23,25,31,34,33
52,69,75,81,101
62,78,89,91,126
50,58,62,87,163
22,18,23,37,353
24,15,22,24,257
20,9,16,24,85
23,17,22,33,51
25,27,31,38,91
23,24,29,32,116
14,8,15,18,124
18,10,18,26,52
20,21,25,33,89
23,19,25,29,108
23,26,35,36,99
24,22,30,32,108
13,11,17,20,73
18,23,32,31,66
26,25,34,37,80
21,19,28,32,67
26,28,42,35,84
16,10,19,22,125
20,12,20,28,30
27,36,42,43,38
32,35,50,39,23
24,23,31,37,26
30,46,51,39,67
70,80,95,86,299
21,16,55,25,79
14,7,22,22,12
18,15,26,15,17
23,26,31,21,15
15,26,34,34,10
20,18,28,27,13
26,27,37,34,8
19,16,22,31,7
32,34,38,46,7
18,7,16,27,12
16,10,18,25,10
15,11,16,19,10
21,19,27,27,8
43,55,66,50,10
33,24,37,38,7
25,23,32,34,8
28,31,42,36,9
45,51,57,50,8
24,18,21,29,9
27,25,28,34,12
53,62,70,64,8
47,53,58,58,9
23,27,29,30,10
33,48,49,46,26
65,80,78,80,22
72,84,85,94,31
29,20,26,30,39
16,10,19,21,29
15,8,15,21,31
17,19,22,29,19
32,35,39,41,52
48,70,100,61,64
23,24,49,31,102
17,11,18,21,43
14,8,13,20,11
16,9,16,19,10
12,11,14,16,6
10,6,15,17,9
19,8,14,24,18
22,22,22,26,15
32,39,39,42,11
32,50,41,45,18
42,57,53,51,12
17,10,15,17,17
15,17,16,18,10
16,18,21,18,12
15,32,25,22,15
14,18,16,16,16
24,28,25,24,15
14,16,17,14,21
16,18,25,21,17
19,24,27,27,14
12,10,16,11,19
15,12,15,18,15
17,14,19,21,17
18,12,19,26,23
15,10,17,16,26
20,17,21,15,25
23,18,23,23,21
20,23,29,20,21
21,23,28,20,24
25,22,27,27,27
32,30,35,38,19
31,28,34,31,18
16,12,20,18,24
20,17,24,18,33
20,11,19,21,18
13,10,18,16,14
18,20,25,20,17
24,27,29,24,40
42,55,50,40,81
25,19,23,20,33
28,24,29,28,30
58,54,62,60,53
32,37,37,35,30
55,65,64,53,49
69,98,89,68,54
29,35,33,29,17
15,10,20,15,18
18,11,22,20,20
20,15,21,24,28
34,39,36,37,24
41,67,64,37,44
18,20,24,20,25
16,13,19,19,13
20,16,21,17,7
23,27,25,24,7
31,39,41,34,7
21,14,20,17,8
14,8,16,12,8
13,10,13,14,9
13,13,14,14,8
20,23,25,22,8
21,20,28,23,11
21,24,38,27,10
72,77,76,78,8
16,11,22,43,10
26,24,29,24,9
33,50,45,38,11
33,39,41,64,14
33,36,42,45,10
31,45,41,36,11
20,19,22,21,8
11,8,14,14,7
15,7,11,13,9
16,7,12,20,9
10,12,17,18,13
23,31,29,26,12
21,37,34,34,7
12,14,22,18,13
7,6,15,11,11
10,8,9,11,8
14,10,10,13,10
12,9,11,12,8
9,13,13,14,10
14,17,18,18,13
13,16,21,15,13
10,10,12,14,12
20,27,27,20,18
14,15,21,15,13
14,17,19,21,12
14,15,18,16,9
15,5,13,12,9
8,6,11,11,8
10,10,11,12,11
15,16,21,17,8
22,38,36,35,9
12,23,32,22,9
8,4,11,12,8
12,17,21,16,6
15,27,28,23,6
17,35,29,26,9
12,11,22,19,9
