62,65,70,67,55
48,68,54,56,55
102,114,105,98,20
79,86,80,82,12
29,38,34,34,9
46,55,57,61,8
83,101,95,95,16
35,37,37,42,14
40,51,48,43,22
87,95,81,75,14
137,134,139,117,14
333,248,279,277,6
231,179,204,201,12
144,110,130,116,17
26,24,26,20,13
33,31,29,22,10
44,47,53,47,9
112,116,118,112,8
48,45,52,41,14
24,27,29,21,17
31,31,32,24,22
43,51,56,46,19
34,39,43,38,11
44,49,46,44,10
22,30,61,24,18
23,41,36,29,18
78,71,72,67,19
22,25,26,19,17
52,72,67,64,16
61,67,57,64,16
17,23,24,18,8
58,49,45,43,10
105,119,112,116,6
80,75,78,75,9
25,36,37,33,19
72,35,47,39,12
50,21,28,19,8
26,20,27,17,23
30,19,30,26,20
26,26,24,22,15
42,31,32,28,10
78,60,65,59,13
25,18,27,16,8
27,22,33,27,7
30,30,30,26,7
35,36,34,27,12
25,20,22,23,10
33,32,37,34,10
81,85,75,76,8
132,119,112,116,10
185,162,130,150,7
149,112,107,98,8
139,128,131,122,9
82,76,65,67,8
90,86,91,89,9
30,31,37,36,12
46,50,51,46,8
66,86,67,59,9
113,106,97,98,10
144,131,113,93,90
178,151,137,143,117
174,157,142,140,86
150,128,129,137,25
165,159,145,157,16
57,32,28,26,11
38,35,36,33,36
72,62,61,60,52
72,88,87,93,64
45,47,50,51,102
50,45,53,51,45
18,14,14,10,18
15,19,15,13,24
22,27,33,31,33
14,18,17,19,19
24,32,34,34,37
38,41,38,42,48
43,58,58,62,61
87,112,113,113,49
46,55,52,55,42
19,18,22,21,13
25,27,29,26,28
16,17,14,13,15
34,42,46,43,42
48,55,54,51,57
23,27,21,19,68
31,29,32,39,51
17,17,18,13,9
32,37,35,35,27
18,15,18,15,9
14,18,14,13,24
19,23,20,20,52
20,22,25,28,48
35,29,38,40,44
88,95,96,106,71
28,32,30,28,84
18,16,19,19,99
15,12,15,16,64
16,13,15,14,58
17,14,18,18,15
19,19,20,22,41
41,42,51,48,79
93,79,79,74,87
113,112,114,120,85
34,36,42,38,37
33,38,34,35,39
53,47,56,50,56
59,66,68,65,64
35,27,37,34,39
12,10,13,13,19
