28,42,40,36,33
23,31,31,34,26
55,59,64,92,55
43,58,61,42,42
25,31,33,23,20
46,52,59,58,46
53,50,60,55,39
18,25,30,27,21
34,43,44,55,39
61,74,72,63,53
62,67,82,67,52
83,81,93,100,67
56,55,65,38,35
35,38,48,38,33
11,19,16,12,17
28,29,33,24,22
32,41,41,36,31
45,52,58,47,40
16,29,34,12,23
8,17,15,14,12
20,26,25,24,16
24,33,37,36,29
34,35,41,40,20
50,55,57,52,45
13,29,18,13,20
19,23,24,23,23
28,33,37,33,33
14,20,22,17,19
43,55,56,51,54
25,43,38,25,38
13,19,19,16,17
28,34,33,30,33
64,69,74,59,64
50,65,62,44,50
24,30,31,26,32
160,134,153,106,144
20,35,31,31,35
8,18,15,11,17
13,19,20,15,21
14,19,15,15,19
18,25,26,27,26
24,33,33,25,31
25,24,28,22,26
24,33,33,23,30
32,39,41,32,40
25,33,29,19,25
7,14,13,9,13
13,19,20,10,17
15,24,27,21,21
29,34,40,28,30
15,24,20,23,21
21,37,32,35,25
27,40,40,29,36
31,38,41,40,36
45,46,52,45,44
17,22,26,18,18
25,31,35,24,32
39,45,51,42,51
22,30,29,26,28
27,39,37,31,32
96,95,107,95,86
118,136,137,138,131
86,95,99,98,90
35,39,45,39,38
13,20,21,14,19
16,25,27,21,21
30,39,37,38,37
44,58,59,49,59
39,48,50,47,46
9,13,16,15,15
7,14,12,10,17
9,15,15,12,15
12,16,16,15,16
7,13,12,10,14
12,17,19,18,16
12,22,21,19,21
50,66,68,50,62
59,76,79,68,72
45,54,57,42,58
9,12,14,10,17
12,14,15,10,15
8,14,14,8,14
12,22,22,20,23
15,20,21,17,16
17,23,25,20,26
28,31,38,29,33
14,20,22,18,20
32,34,37,31,38
7,10,12,9,12
13,12,14,10,13
11,15,14,15,16
11,13,17,15,21
20,24,22,23,24
28,37,35,40,38
17,18,22,20,22
17,20,23,21,24
15,21,23,21,23
15,18,21,16,20
11,17,15,13,18
13,15,15,18,15
9,16,16,16,16
20,24,27,29,29
28,32,40,41,42
9,14,13,12,13
13,22,21,20,21
32,42,45,31,47
52,57,61,56,65
24,23,26,20,25
20,15,19,14,16
29,23,30,18,30
45,34,39,33,39
58,48,52,45,48
86,64,75,57,74
22,19,26,18,25
11,12,15,8,14
18,16,17,11,14
20,18,21,15,23
28,24,29,16,27
80,68,77,62,78
57,37,48,34,39
11,12,13,10,11
15,12,15,13,12
25,21,21,24,19
33,23,29,26,24
13,14,15,13,13
12,11,13,10,13
17,15,16,15,13
20,14,18,14,15
26,20,22,17,18
43,27,28,22,31
46,29,38,28,34
36,35,36,27,39
17,14,15,10,16
29,17,23,16,21
67,44,55,40,42
53,35,48,42,44
61,44,59,47,57
30,25,30,23,30
25,22,27,22,29
6,8,7,8,12
10,11,10,10,11
13,12,12,11,12
18,15,15,20,15
30,21,27,25,28
34,23,30,25,32
26,24,30,25,34
5,8,7,8,12
10,9,10,7,15
17,12,16,13,15
22,17,20,15,20
12,12,12,12,13
18,11,14,16,17
29,20,28,22,29
23,17,24,20,24
20,16,21,18,25
21,15,20,19,21
23,17,26,23,29
27,22,28,27,35
24,22,28,26,27
7,8,10,9,11
10,8,12,10,13
22,15,24,21,28
32,26,34,33,37
29,20,30,20,30
13,12,16,13,15
12,11,13,12,14
8,7,11,10,12
24,16,22,21,26
35,30,38,35,33
35,28,37,33,40
44,35,48,42,50
25,19,26,23,30
30,22,31,31,28
28,21,26,25,28
37,33,36,36,37
40,35,39,34,41
37,33,42,38,45
47,40,47,44,45
22,18,27,23,31
7,8,14,14,15
